Datasets,CBFTYPE,QEI,FD
PNC,SCBF,0.600522441,0.116825662
PNC,SCBF,0.720691895,0.08135899
PNC,SCBF,0.645396774,0.082282121
PNC,SCBF,0.757451432,0.092006222
PNC,SCBF,0.710989939,0.086865459
PNC,SCBF,0.732961801,0.145985571
PNC,SCBF,0.636197846,0.171020511
PNC,SCBF,0.699181518,0.062588483
PNC,SCBF,0.723097387,0.207745549
PNC,SCBF,0.620200316,0.265167356
PNC,SCBF,0.685256799,0.167795077
PNC,SCBF,0.716777128,0.136419375
PNC,SCBF,0.665533424,0.091377068
PNC,SCBF,0.684858,0.131461145
PNC,SCBF,0.661635276,0.107371595
PNC,SCBF,0.636621961,0.078936118
PNC,SCBF,0.599856276,0.121957998
PNC,SCBF,0.709627645,0.125880426
PNC,SCBF,0.444795699,0.068384025
PNC,SCBF,0.641882516,0.120779971
PNC,SCBF,0.691415542,0.095620655
PNC,SCBF,0.694645481,0.127945794
PNC,SCBF,0.575680671,0.141783215
PNC,SCBF,0.601950944,0.256882404
PNC,SCBF,0.626651693,0.106048757
PNC,SCBF,0.701272495,0.08118347
PNC,SCBF,0.673218789,0.077867219
PNC,SCBF,0.582373297,0.090761203
PNC,SCBF,0.612692248,0.247091027
PNC,SCBF,0.64748032,0.139210083
PNC,SCBF,0.786402607,0.071929347
PNC,SCBF,0.710682034,0.131893225
PNC,SCBF,0.734664367,0.228628068
PNC,SCBF,0.529806008,0.222030074
PNC,SCBF,0.71917882,0.126847708
PNC,SCBF,0.492806353,0.135016673
PNC,SCBF,0.68459377,0.085896714
PNC,SCBF,0.580081862,0.258902411
PNC,SCBF,0.728420504,0.128719589
PNC,SCBF,0.711277489,0.119784103
PNC,SCBF,0.635749531,0.129450839
PNC,SCBF,0.604304585,0.177492383
PNC,SCBF,0.45784812,0.084335153
PNC,SCBF,0.752025929,0.107399245
PNC,SCBF,0.626220301,0.143574796
PNC,SCBF,0.647039437,0.241427037
PNC,SCBF,0.724345392,0.117399755
PNC,SCBF,0.645828838,0.116609485
PNC,SCBF,0.663929016,0.146745636
PNC,SCBF,0.693591778,0.198249488
PNC,SCBF,0.687993669,0.093566589
PNC,SCBF,0.784261272,0.153306261
PNC,SCBF,0.444039965,0.273327527
PNC,SCBF,0.690647454,0.140260166
PNC,SCBF,0.749222052,0.158883139
PNC,SCBF,0.60044985,0.25719156
PNC,SCBF,0.698158866,0.146433942
PNC,SCBF,0.55301003,0.153968263
PNC,SCBF,0.614174727,0.12611823
PNC,SCBF,0.699914592,0.106874396
PNC,SCBF,0.752635925,0.139334799
PNC,SCBF,0.746589797,0.095223076
PNC,SCBF,0.240753532,0.150843171
PNC,SCBF,0.645926017,0.121233722
PNC,SCBF,0.725380235,0.093622326
PNC,SCBF,0.652790604,0.116829277
PNC,SCBF,0.621302245,0.062014019
PNC,SCBF,0.628697912,0.082665287
PNC,SCBF,0.636945852,0.120881642
PNC,SCBF,0.700138869,0.103901241
PNC,SCBF,0.74632579,0.187922896
PNC,SCBF,0.687161063,0.143889566
PNC,SCBF,0.646538099,0.174801992
PNC,SCBF,0.699458367,0.072118502
PNC,SCBF,0.522544543,0.139831214
PNC,SCBF,0.766457805,0.160030639
PNC,SCBF,0.66360482,0.091966413
PNC,SCBF,0.641025872,0.144855072
PNC,SCBF,0.502183869,0.385856874
PNC,SCBF,0.750797915,0.18166217
PNC,SCBF,0.740890237,0.107532306
PNC,SCBF,0.713729244,0.129289987
PNC,SCBF,0.672405052,0.183011516
