Datasets,CBF.GM,CBF.WM,CBFTYPE
PNC,58.456693,42.55652,SCBF
PNC,80.369788,38.199329,SCBF
PNC,50.685163,21.666028,SCBF
PNC,74.343216,34.232101,SCBF
PNC,79.936178,35.997738,SCBF
PNC,90.275285,34.212682,SCBF
PNC,69.192577,33.082358,SCBF
PNC,55.260728,24.067673,SCBF
PNC,92.586988,37.662525,SCBF
PNC,101.562892,44.1857,SCBF
PNC,65.902052,34.49061,SCBF
PNC,50.760525,21.906437,SCBF
PNC,117.557965,53.583,SCBF
PNC,54.124453,33.362138,SCBF
PNC,96.413529,37.639598,SCBF
PNC,73.054409,48.182717,SCBF
PNC,81.092985,39.204723,SCBF
PNC,57.912275,34.390689,SCBF
PNC,73.83113,36.957385,SCBF
PNC,60.609851,26.319608,SCBF
PNC,52.166822,22.312518,SCBF
PNC,62.777721,24.781048,SCBF
PNC,49.063163,31.404868,SCBF
PNC,90.396802,53.894315,SCBF
PNC,64.580334,45.098073,SCBF
PNC,74.308255,36.482031,SCBF
PNC,55.678418,34.529598,SCBF
PNC,60.992512,32.942291,SCBF
PNC,63.314466,28.90018,SCBF
PNC,49.786227,28.596247,SCBF
PNC,87.969858,38.066844,SCBF
PNC,70.359727,37.820552,SCBF
PNC,94.838763,42.680324,SCBF
PNC,53.4396,22.584065,SCBF
PNC,101.409149,49.018412,SCBF
PNC,63.112796,39.732913,SCBF
PNC,61.403732,28.274516,SCBF
PNC,71.196637,42.938233,SCBF
PNC,74.8897,40.77257,SCBF
PNC,78.85242,40.130594,SCBF
PNC,71.438401,44.574818,SCBF
PNC,71.829693,33.641149,SCBF
PNC,64.80145,40.035164,SCBF
PNC,77.456539,36.921357,SCBF
PNC,60.43794,37.040689,SCBF
PNC,76.289056,41.719254,SCBF
PNC,55.010781,29.553612,SCBF
PNC,72.110987,27.776992,SCBF
PNC,74.36744,36.999271,SCBF
PNC,77.895422,41.03993,SCBF
PNC,63.801385,38.606617,SCBF
PNC,91.968744,39.181102,SCBF
PNC,72.095646,34.440535,SCBF
PNC,81.649473,36.943954,SCBF
PNC,77.446615,45.239639,SCBF
PNC,66.067785,24.851178,SCBF
PNC,68.333917,36.118559,SCBF
PNC,66.482647,31.500754,SCBF
PNC,68.92129,28.91504,SCBF
PNC,98.601217,35.911025,SCBF
PNC,70.769805,35.558685,SCBF
PNC,71.610613,35.671808,SCBF
PNC,53.420169,37.95183,SCBF
PNC,42.876992,23.044694,SCBF
PNC,81.672759,39.539447,SCBF
PNC,71.754042,28.995713,SCBF
PNC,72.306708,34.960065,SCBF
