Datasets,CBF,CBFTYPE,AGE
PNC,58.456693,SCBF,20.91666667
PNC,80.369788,SCBF,14.75
PNC,50.685163,SCBF,16.41666667
PNC,74.343216,SCBF,15.58333333
PNC,79.936178,SCBF,17.33333333
PNC,90.275285,SCBF,11.33333333
PNC,69.192577,SCBF,13.66666667
PNC,55.260728,SCBF,21.75
PNC,92.586988,SCBF,10.66666667
PNC,101.562892,SCBF,13
PNC,65.902052,SCBF,14.66666667
PNC,50.760525,SCBF,13.66666667
PNC,117.557965,SCBF,20.58333333
PNC,54.124453,SCBF,19.83333333
PNC,96.413529,SCBF,14.16666667
PNC,73.054409,SCBF,17.5
PNC,81.092985,SCBF,16.41666667
PNC,57.912275,SCBF,18.91666667
PNC,73.83113,SCBF,16.75
PNC,60.609851,SCBF,15.58333333
PNC,52.166822,SCBF,15.33333333
PNC,62.777721,SCBF,15.08333333
PNC,49.063163,SCBF,20.91666667
PNC,90.396802,SCBF,11.91666667
PNC,64.580334,SCBF,13.16666667
PNC,74.308255,SCBF,14.66666667
PNC,55.678418,SCBF,17.91666667
PNC,60.992512,SCBF,15.83333333
PNC,63.314466,SCBF,11.41666667
PNC,49.786227,SCBF,21.25
PNC,87.969858,SCBF,12.5
PNC,70.359727,SCBF,18.41666667
PNC,94.838763,SCBF,10
PNC,53.4396,SCBF,17.83333333
PNC,101.409149,SCBF,9.916666667
PNC,63.112796,SCBF,20
PNC,61.403732,SCBF,17.33333333
PNC,71.196637,SCBF,12.91666667
PNC,74.8897,SCBF,17.66666667
PNC,78.85242,SCBF,15.58333333
PNC,71.438401,SCBF,13.58333333
PNC,71.829693,SCBF,21.08333333
PNC,64.80145,SCBF,20.08333333
PNC,77.456539,SCBF,19.91666667
PNC,60.43794,SCBF,16.75
PNC,76.289056,SCBF,17.91666667
PNC,55.010781,SCBF,15.91666667
PNC,72.110987,SCBF,20
PNC,74.36744,SCBF,15.25
PNC,77.895422,SCBF,8.25
PNC,63.801385,SCBF,14.16666667
PNC,91.968744,SCBF,9.666666667
PNC,72.095646,SCBF,11.83333333
PNC,81.649473,SCBF,15.16666667
PNC,77.446615,SCBF,13.08333333
PNC,66.067785,SCBF,12.83333333
PNC,68.333917,SCBF,18.66666667
PNC,66.482647,SCBF,20.25
PNC,68.92129,SCBF,19.33333333
PNC,98.601217,SCBF,17.83333333
PNC,70.769805,SCBF,19.83333333
PNC,71.610613,SCBF,16.91666667
PNC,53.420169,SCBF,17.5
PNC,42.876992,SCBF,15.33333333
PNC,81.672759,SCBF,18.83333333
PNC,71.754042,SCBF,14
PNC,72.306708,SCBF,20.41666667
PNC,63.039755,SCBF,16.25
PNC,84.190455,SCBF,12.41666667
PNC,71.773555,SCBF,20.25
PNC,91.017839,SCBF,17.41666667
PNC,68.158344,SCBF,16.83333333
PNC,66.69736,SCBF,18.75
PNC,76.600285,SCBF,17
PNC,61.751153,SCBF,13.33333333
PNC,81.408799,SCBF,9.666666667
PNC,69.699225,SCBF,19.58333333
PNC,62.83989,SCBF,15.41666667
PNC,84.577603,SCBF,8.583333333
PNC,107.931199,SCBF,8.583333333
PNC,76.101442,SCBF,16.75
PNC,57.351637,SCBF,15.41666667
PNC,89.284191,SCBF,17.91666667
PNC,87.569826,SCBF,9.25
PNC,78.402386,SCBF,10.75
PNC,89.893111,SCBF,8.25
PNC,66.979069,SCBF,13
PNC,53.246601,SCBF,20
PNC,90.449047,SCBF,10.58333333
PNC,104.235962,SCBF,9.166666667
PNC,58.432962,SCBF,17.66666667
PNC,78.044145,SCBF,17
PNC,67.397599,SCBF,13.16666667
PNC,65.653613,SCBF,15.08333333
PNC,113.33035,SCBF,8.833333333
PNC,60.724063,SCBF,19.5
PNC,44.888886,SCBF,16.83333333
PNC,112.415697,SCBF,9.166666667
PNC,66.939925,SCBF,17.75
PNC,61.316232,SCBF,15.58333333
PNC,83.994861,SCBF,15.58333333
PNC,67.708434,SCBF,20.5
PNC,78.098433,SCBF,22.33333333
PNC,61.157676,SCBF,15.83333333
PNC,89.556725,SCBF,11.66666667
PNC,59.161469,SCBF,19
PNC,68.141262,SCBF,15.58333333
PNC,88.156683,SCBF,10.25
PNC,71.684423,SCBF,21.75
PNC,80.210441,SCBF,10.25
PNC,44.561816,SCBF,19.83333333
PNC,76.149469,SCBF,13.5
PNC,45.165155,SCBF,15.58333333
PNC,110.48088,SCBF,10.33333333
PNC,70.576177,SCBF,12.91666667
PNC,86.314537,SCBF,20
PNC,85.29706,SCBF,13.83333333
PNC,93.745406,SCBF,10.16666667
