Datasets,compute time(hrs),modality
NKI,3.634444444,anat
NKI,4.6625,anat
NKI,3.85,anat
NKI,3.717222222,anat
NKI,4.505833333,anat
NKI,4.577222222,anat
NKI,3.788055556,anat
NKI,4.52,anat
NKI,4.042777778,anat
NKI,3.778888889,anat
NKI,3.733055556,anat
NKI,4.624166667,anat
NKI,4.563333333,anat
NKI,3.905277778,anat
NKI,3.724444444,anat
NKI,3.752777778,anat
NKI,4.565,anat
NKI,3.643055556,anat
NKI,4.679444444,anat
NKI,4.781944444,anat
NKI,3.545833333,anat
NKI,4.643055556,anat
NKI,3.793333333,anat
NKI,3.811111111,anat
NKI,3.658888889,anat
NKI,4.583055556,anat
NKI,4.728888889,anat
NKI,4.593611111,anat
NKI,4.596944444,anat
NKI,3.626944444,anat
NKI,4.526111111,anat
NKI,4.4825,anat
NKI,3.809166667,anat
NKI,3.748333333,anat
NKI,4.645833333,anat
NKI,3.807222222,anat
NKI,4.642777778,anat
NKI,4.523333333,anat
NKI,4.664722222,anat
NKI,3.601666667,anat
NKI,3.6975,anat
NKI,4.641388889,anat
NKI,4.580833333,anat
NKI,4.57,anat
NKI,4.683055556,anat
NKI,4.630555556,anat
NKI,4.6175,anat
NKI,4.566388889,anat
NKI,4.56,anat
NKI,3.728333333,anat
NKI,4.5325,anat
NKI,4.612222222,anat
NKI,4.623333333,anat
NKI,4.575277778,anat
NKI,4.571666667,anat
NKI,4.641666667,anat
NKI,3.633055556,anat
NKI,3.704722222,anat
NKI,4.580277778,anat
NKI,4.661388889,anat
NKI,4.585277778,anat
NKI,4.530555556,anat
NKI,4.534444444,anat
NKI,3.567777778,anat
NKI,4.536111111,anat
NKI,4.703055556,anat
NKI,4.54,anat
NKI,3.750555556,anat
NKI,3.4725,anat
NKI,4.587777778,anat
NKI,4.586666667,anat
NKI,4.510555556,anat
NKI,4.522777778,anat
NKI,4.549444444,anat
NKI,4.681388889,anat
NKI,4.6025,anat
NKI,4.571388889,anat
NKI,3.519444444,anat
NKI,4.638611111,anat
NKI,4.592777778,anat
NKI,4.476388889,anat
NKI,4.59,anat
NKI,3.766111111,anat
NKI,3.778611111,anat
NKI,3.66,anat
NKI,4.762222222,anat
NKI,3.882777778,anat
NKI,4.546944444,anat
NKI,3.765555556,anat
NKI,3.844166667,anat
NKI,3.962777778,anat
NKI,3.609166667,anat
NKI,3.896666667,anat
NKI,3.580277778,anat
NKI,4.578055556,anat
NKI,3.865,anat
NKI,3.690555556,anat
NKI,3.781944444,anat
NKI,3.9125,anat
NKI,3.819166667,anat
NKI,3.923888889,anat
NKI,3.884722222,anat
NKI,3.828611111,anat
NKI,3.739444444,anat
NKI,3.848333333,anat
NKI,3.749722222,anat
NKI,4.157222222,anat
NKI,4.21,anat
NKI,3.623888889,anat
NKI,3.811388889,anat
NKI,4.636666667,anat
NKI,4.511944444,anat
NKI,3.746944444,anat
NKI,3.466666667,anat
NKI,4.610277778,anat
NKI,3.831111111,anat
NKI,3.831944444,anat
NKI,3.835277778,anat
NKI,3.534444444,anat
NKI,3.728611111,anat
NKI,4.538888889,anat
NKI,3.551666667,anat
NKI,3.559722222,anat
NKI,4.594166667,anat
NKI,3.711111111,anat
NKI,3.477777778,anat
NKI,3.692777778,anat
NKI,4.578055556,anat
NKI,4.495,anat
NKI,4.595277778,anat
NKI,4.542222222,anat
NKI,4.527777778,anat
NKI,4.568055556,anat
NKI,4.550555556,anat
NKI,3.739166667,anat
NKI,4.508333333,anat
NKI,4.553333333,anat
NKI,4.567777778,anat
NKI,4.556944444,anat
NKI,4.482222222,anat
NKI,4.565,anat
NKI,4.539444444,anat
NKI,3.458333333,anat
NKI,4.0425,anat
NKI,4.581388889,anat
NKI,4.519722222,anat
NKI,4.564166667,anat
NKI,4.513611111,anat
NKI,4.5125,anat
NKI,4.471388889,anat
NKI,4.549722222,anat
NKI,3.458888889,anat
NKI,3.5175,anat
NKI,4.565833333,anat
NKI,4.563611111,anat
NKI,4.681111111,anat
NKI,4.654166667,anat
NKI,4.524722222,anat
NKI,4.700833333,anat
NKI,4.585277778,anat
NKI,4.488888889,anat
NKI,4.631111111,anat
NKI,4.505555556,anat
NKI,4.510555556,anat
NKI,4.536944444,anat
NKI,4.618888889,anat
NKI,4.543055556,anat
NKI,4.595277778,anat
NKI,3.562777778,anat
NKI,4.527777778,anat
NKI,4.504722222,anat
NKI,4.535833333,anat
NKI,4.503611111,anat
NKI,4.544166667,anat
NKI,3.843333333,anat
NKI,4.533055556,anat
NKI,4.537777778,anat
NKI,4.599722222,anat
NKI,4.629166667,anat
NKI,4.631111111,anat
NKI,4.515555556,anat
NKI,4.6325,anat
NKI,4.501388889,anat
NKI,4.628888889,anat
NKI,4.560555556,anat
NKI,4.523611111,anat
NKI,4.556944444,anat
NKI,4.573888889,anat
NKI,4.438611111,anat
NKI,4.571388889,anat
NKI,4.575277778,anat
NKI,3.530277778,anat
NKI,4.605555556,anat
NKI,4.573611111,anat
NKI,4.494444444,anat
NKI,4.610833333,anat
NKI,4.539166667,anat
NKI,4.518333333,anat
NKI,4.532777778,anat
NKI,4.505833333,anat
NKI,4.581111111,anat
NKI,4.560555556,anat
NKI,4.531944444,anat
NKI,4.4925,anat
NKI,4.78,anat
NKI,4.507777778,anat
NKI,4.531944444,anat
NKI,4.522222222,anat
NKI,4.730555556,anat
NKI,4.570833333,anat
NKI,4.478611111,anat
NKI,4.532777778,anat
NKI,4.595277778,anat
NKI,4.567222222,anat
NKI,4.541944444,anat
NKI,3.624722222,anat
NKI,4.562777778,anat
NKI,4.441111111,anat
NKI,4.522222222,anat
NKI,4.647222222,anat
NKI,4.503333333,anat
NKI,4.563333333,anat
NKI,4.695277778,anat
NKI,4.5125,anat
NKI,4.536388889,anat
NKI,4.500555556,anat
NKI,4.538333333,anat
NKI,4.573611111,anat
NKI,4.710833333,anat
NKI,4.4925,anat
NKI,4.5875,anat
NKI,3.684444444,anat
NKI,4.581388889,anat
NKI,4.547222222,anat
NKI,4.511944444,anat
NKI,4.535277778,anat
NKI,4.572222222,anat
NKI,4.551666667,anat
NKI,4.591666667,anat
NKI,4.541666667,anat
NKI,4.577777778,anat
NKI,4.563611111,anat
NKI,4.585555556,anat
NKI,4.581944444,anat
NKI,4.601944444,anat
NKI,4.533611111,anat
NKI,4.576666667,anat
NKI,4.598055556,anat
NKI,4.607222222,anat
NKI,4.6425,anat
NKI,4.571388889,anat
