sub,ses
A00034350,FLU1
A00063003,BAS1
A00052319,BAS1
A00074769,BAS1
A00075674,BAS1
A00064081,BAS1
A00073677,BAS1
A00062081,BAS1
A00051063,BAS1
A00074641,BAS1
A00080452,BAS1
A00044068,BAS1
A00081253,BAS1
A00056295,FLU1
A00062411,BAS1
A00076595,BAS1
A00044408,BAS1
A00075210,BAS1
A00056372,BAS1
A00065565,BAS1
A00062266,BAS1
A00038424,BAS2
A00085797,BAS1
A00074942,BAS1
A00060170,BAS1
A00076755,BAS1
A00051456,BAS1
A00075757,BAS1
A00062989,BAS1
A00031794,BAS2
A00063589,BAS1
A00058515,BAS1
A00043722,BAS1
A00081402,BAS1
A00054533,BAS1
A00055262,FLU2
A00040312,BAS2
A00051726,BAS1
A00065962,BAS1
A00060576,BAS1
A00060516,BAS1
A00043450,BAS1
A00044131,BAS1
A00066781,BAS1
A00060925,BAS1
A00045589,BAS1
A00074047,BAS1
A00075741,BAS1
A00077091,BAS1
A00058053,BAS1
A00081112,BAS1
A00051882,BAS1
A00039488,BAS2
A00051676,BAS1
A00040225,BAS2
A00035827,BAS2
A00076594,BAS1
A00082590,BAS1
A00080942,BAS1
A00065820,BAS1
A00083169,FLU1
A00081114,BAS1
A00052118,BAS1
A00053854,BAS1
A00081132,BAS1
A00076744,BAS1
A00050815,BAS1
A00056099,BAS2
A00062146,BAS1
A00075737,BAS1
A00052237,FLU1
A00077585,BAS1
A00077109,BAS1
A00055332,BAS1
A00066087,BAS1
A00040815,BAS1
A00056420,FLU1
A00074447,FLU2
A00062268,BAS1
A00061883,BAS1
A00054038,BAS1
A00075220,BAS1
A00044130,BAS1
A00081175,BAS1
A00075732,BAS1
A00078262,BAS1
A00053625,BAS1
A00055076,FLU1
A00054153,BAS1
A00043788,BAS1
A00079747,BAS1
A00062288,BAS1
A00051457,BAS1
A00054441,BAS1
A00061600,BAS1
A00057183,BAS1
A00052461,BAS1
A00059325,BAS1
A00073942,BAS1
A00077192,BAS1
A00043417,BAS1
A00063424,BAS1
A00035292,FLU1
A00058060,BAS1
A00053902,BAS1
A00062292,BAS1
A00061634,BAS1
A00060384,BAS1
A00063103,BAS1
A00059662,BAS1
A00066245,BAS1
A00061021,BAS1
A00079301,BAS1
A00066162,BAS1
A00057203,BAS1
A00056020,FLU1
A00077111,BAS1
A00061647,BAS1
A00055462,BAS1
A00061483,BAS1
A00063327,BAS1
A00073230,BAS1
A00075678,BAS1
A00028753,BAS2
A00060430,BAS1
A00050742,BAS1
A00065974,BAS1
A00073308,BAS1
A00038806,BAS2
A00062923,BAS1
A00043649,BAS1
A00056919,BAS1
A00066926,BAS1
A00051927,BAS1
A00051727,BAS1
A00063455,BAS1
A00066812,BAS1
A00052307,BAS1
A00082987,BAS1
A00074711,BAS1
A00065802,BAS1
A00055867,BAS1
A00074652,BAS1
A00028754,BAS2
A00081901,BAS1
A00050795,BAS1
A00051513,BAS1
A00062144,BAS1
A00060383,BAS1
A00058004,BAS1
A00075745,BAS1
A00076380,BAS1
A00077199,BAS1
A00057372,BAS1
A00057965,BAS1
A00040604,BAS2
A00066319,BAS1
A00050911,BAS1
A00079334,BAS1
A00039758,BAS2
A00065379,BAS1
A00073953,BAS1
A00052069,BAS1
A00083952,BAS1
A00081479,BAS1
A00056679,FLU1
A00059865,BAS1
A00043509,BAS1
A00040580,BAS2
A00058145,BAS1
A00061767,BAS1
A00052340,BAS1
A00051690,BAS1
A00076586,BAS1
A00062255,BAS1
A00059107,BAS1
A00066236,BAS1
A00061711,BAS1
A00057445,BAS1
A00061715,BAS1
A00083949,BAS1
A00083847,BAS1
A00074953,BAS1
A00073303,BAS1
A00050721,BAS1
A00043758,BAS1
A00075738,BAS1
A00053851,BAS1
A00061387,BAS1
A00059361,BAS1
A00075898,BAS1
A00040286,BAS2
A00028352,BAS2
A00084901,BAS1
A00040798,BAS1
A00055763,BAS1
A00055908,BAS1
A00065197,BAS1
A00062416,BAS1
A00085743,BAS1
A00053473,BAS1
A00054895,BAS2
A00079776,BAS1
A00043998,BAS1
A00074657,BAS1
A00079775,BAS1
A00082943,BAS1
A00066735,BAS1
A00055832,FLU1
A00061749,BAS1
A00065263,BAS1
A00055446,BAS1
A00064061,BAS1
A00075660,BAS1
A00066460,BAS1
A00028185,BAS2
A00062285,BAS1
A00073525,BAS1
A00060184,BAS1
A00051064,BAS1
A00039685,BAS2
A00075735,BAS1
A00055542,BAS1
A00064503,BAS1
A00080818,BAS1
A00065572,BAS1
A00035377,FLU1
A00052560,BAS1
A00062929,BAS1
A00065790,BAS1
A00060279,BAS1
A00066589,BAS1
A00083745,BAS1
A00051539,BAS1
A00075729,BAS1
A00085680,BAS1
A00066871,BAS1
A00044405,BAS1
A00060169,BAS1
A00062926,BAS1
A00059663,BAS1
A00033673,BAS2
A00063006,BAS1
A00055903,BAS1
A00076775,BAS1
A00075150,BAS1
A00065185,FLU2
A00062996,BAS1
A00037817,BAS2
A00054019,BAS1
A00081785,BAS1
A00065749,BAS1
A00066865,BAS1
A00083171,BAS1
A00053949,BAS1
A00060099,BAS1
A00055738,BAS1
A00077637,BAS1
A00027159,FLU1
A00074113,BAS1
A00080428,BAS1
A00037112,BAS2
A00074114,BAS1
A00080453,BAS1
A00083982,BAS1
A00060575,BAS1
A00055612,BAS1
A00085297,BAS1
A00057076,FLU1
A00050912,BAS1
A00060806,BAS1
A00065978,BAS1
A00079907,BAS1
A00055122,BAS1
A00057808,BAS1
A00081544,BAS1
A00060773,BAS1
A00083419,BAS1
A00066154,BAS1
A00043704,BAS1
A00043325,BAS1
A00057786,BAS1
A00082945,BAS1
A00059990,BAS1
A00082781,BAS1
A00038623,BAS2
A00033714,FLU1
A00066864,BAS1
A00052181,BAS1
A00066534,FLU2
A00039593,BAS2
A00060471,BAS1
A00057235,BAS1
A00051603,BAS1
