std_dvars	dvars	framewise_displacement	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
n/a	n/a	n/a	-1.43592e-06	-7.33739e-06	-6.20645e-05	-0.000846601	0.000165095	0.0
4.673042	149.835571	0.07568472552999998	0.0	-1.77125e-05	0.0165495	0.000169531	-0.0	0.0
7.86544	252.196014	0.0720544375	0.0	-0.0213331	0.0504866	0.00050557	-0.0	0.0
9.571853	306.910126	0.09908880020040096	2.0040099999999998e-10	-0.0189039	-0.0405672	0.000617686	-0.0	0.0
7.315484999999998	234.562378	0.162237420200401	-0.0161339	0.00715337	0.0175399	-0.000516367	-0.00010473	0.0
5.135906	164.676743	0.07972810506000001	-2.86494e-06	0.0150642	-0.00612659	0.000110887	-0.000117871	0.0
5.120705	164.189346	0.050002414569999994	3.40963e-06	0.0151054	0.0353285	0.000265915	-0.000102902	0.0
9.344563	299.622375	0.122682609853636	-2.2363599999999998e-10	-0.0039737	-0.0522661	0.000483123	-0.0	0.0
7.495015	240.318771	0.071760630223636	0.00368603	-0.0101925	-0.0129687	3.1955e-05	-0.0	0.0
5.261905	168.716751	0.1177265138	-1.81438e-05	0.0231833	0.00739374	-0.000760658	-0.0	0.000413069
323.664703	10377.925781	2.9567513338000007	0.655733	-0.518234	-1.14856	-0.00558153	-0.00488565	0.00277913
3.4794	111.562828	0.13014050000000013	0.622265	-0.508821	-1.16758	-0.0047104	-0.00483809	0.00233303
3.24497	104.046112	0.09321350000000028	0.656985	-0.509406	-1.16045	-0.0041657	-0.0050946	0.00254739
3.256324	104.410187	0.11400050000000016	0.628152	-0.508346	-1.16534	-0.0048591	-0.00441689	0.00233415
2.899997	92.984962	0.11240949999999998	0.647124	-0.49607	-1.18781	-0.00475996	-0.00521378	0.00261195
3.143487	100.792183	0.12612550000000022	0.592259	-0.489955	-1.17505	-0.00457592	-0.00473878	0.00222328
3.035933	97.343582	0.17058650000000003	0.647366	-0.459574	-1.15749	-0.00557506	-0.00497925	0.00233444
2.655566	85.147568	0.20088299999999973	0.612101	-0.454643	-1.08997	-0.00626821	-0.00422447	0.00191903
2.913332	93.412537	0.31390099999999976	0.674608	-0.461981	-1.19996	-0.00454922	-0.0047338	0.00237203
2.774009	88.945312	0.19988999999999993	0.603751	-0.482046	-1.13336	-0.00479032	-0.00439682	0.00210275
2.686494	86.13925899999998	0.13866499999999998	0.655085	-0.479097	-1.18129	-0.00422571	-0.00445972	0.00220428
2.942975	94.362999	0.181363	0.601888	-0.464938	-1.12689	-0.00500627	-0.00434727	0.00190515
3.023623	96.94889800000001	0.11394400000000016	0.642865	-0.44205	-1.15135	-0.00476701	-0.004507	0.00201854
3.044123	97.606194	0.1025495	0.605127	-0.442709	-1.13501	-0.00521782	-0.00432242	0.00169768
