sub,Method,fwhm
1832999514,PreviousPipeline,4.898947022
278814796,PreviousPipeline,6.103239677
3103368139,PreviousPipeline,5.077678763
1818459775,PreviousPipeline,6.935491509
2748427955,PreviousPipeline,5.851090206
817266153,PreviousPipeline,6.726497666
1344101127,PreviousPipeline,3.40750252
3925705705,PreviousPipeline,4.409253599
234528430,PreviousPipeline,5.684936755
4167756410,PreviousPipeline,6.464831777
628144066,PreviousPipeline,5.611561273
134279804,PreviousPipeline,4.932272364
2312088658,PreviousPipeline,7.487262185
1512248949,PreviousPipeline,7.061447423
981492397,PreviousPipeline,6.508344637
277233792,PreviousPipeline,4.248963148
360459346,PreviousPipeline,7.43859054
3520758666,PreviousPipeline,5.697738743
4066124203,PreviousPipeline,5.583465021
850131294,PreviousPipeline,5.857569528
2508284118,PreviousPipeline,4.212463891
1163553824,PreviousPipeline,6.273046194
255089519,PreviousPipeline,7.261067538
749926734,PreviousPipeline,6.818133585
4284367721,PreviousPipeline,7.480565263
997818717,PreviousPipeline,4.849182573
1498873540,PreviousPipeline,7.177683106
813520934,PreviousPipeline,4.790482438
4099541746,PreviousPipeline,7.434354035
2861717830,PreviousPipeline,6.406749048
2932582600,PreviousPipeline,4.639880542
1483500237,PreviousPipeline,6.65560662
1483500237,PreviousPipeline,6.65560662
3704095570,PreviousPipeline,4.003626534
3704095570,PreviousPipeline,4.003626534
1006151876,PreviousPipeline,7.410274236
1006151876,PreviousPipeline,7.410274236
1829488364,PreviousPipeline,5.38988635
1103118018,PreviousPipeline,6.894661099
1103118018,PreviousPipeline,6.894661099
1828951258,PreviousPipeline,5.86867251
2299321259,PreviousPipeline,4.366773917
2441231201,PreviousPipeline,7.033938416
1730541924,PreviousPipeline,5.806033205
1114035056,PreviousPipeline,5.060656494
1887390452,PreviousPipeline,7.329972486
4108002155,PreviousPipeline,7.150893425
3840869169,PreviousPipeline,7.61199487
2539603725,PreviousPipeline,3.514382326
2539603725,PreviousPipeline,3.514382326
200066829,PreviousPipeline,4.852107986
2148378283,PreviousPipeline,5.861046373
2148378283,PreviousPipeline,5.861046373
1381671196,PreviousPipeline,5.288615531
1095340536,PreviousPipeline,6.909359558
398131152,PreviousPipeline,5.374115362
3264978932,PreviousPipeline,6.094895633
3870702454,PreviousPipeline,6.338227281
1645871327,PreviousPipeline,5.142821022
3925565817,PreviousPipeline,6.788547304
3925565817,PreviousPipeline,6.788547304
2170759229,PreviousPipeline,6.884969248
2788528349,PreviousPipeline,7.444823579
2215153516,PreviousPipeline,5.631383972
402523989,PreviousPipeline,6.912610606
3289562482,PreviousPipeline,5.267077183
3289562482,PreviousPipeline,5.267077183
993394555,PreviousPipeline,3.667160355
2976850765,PreviousPipeline,6.632230915
2976850765,PreviousPipeline,6.632230915
1682850665,PreviousPipeline,5.580217685
2763114922,PreviousPipeline,6.626949054
3733544876,PreviousPipeline,6.315811605
3234489701,PreviousPipeline,5.964561279
