sub,CBF_GM,CBF_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
1014,31.727503,26.273416,31.727503,26.273416,32.103377,27.166296,35.452414,29.170616
1285,39.963043,36.691646,39.963043,36.691646,40.779891,37.758725,44.979618,40.549163
1658,29.574654,26.468884,29.574654,26.468884,30.095419,27.203646,33.366794,29.254942
1015,29.710479,26.139008,29.710479,26.139008,30.1637,26.917179,33.391009,28.282514
1286,51.529902,43.128509,51.529902,43.128509,52.423836,44.41461,59.020184,46.858246
1663,27.412626,24.528102,27.412626,24.528102,27.796657,25.140402,30.164566,26.629308
1016,29.250951,26.009808,29.250951,26.009808,29.898813,26.839345,32.421425,28.854875
1287,55.576482,44.211225,55.576482,44.211225,56.199372,45.488937,65.347086,45.056243
1686,36.550639,34.390761,36.550639,34.390761,37.133766,35.24101,41.0696,39.26436
1017,51.930952,37.731345,51.930952,37.731345,52.60662,39.210145,58.036803,40.63768
1288,35.288681,27.480689,35.288681,27.480689,35.564944,28.36026,41.374468,28.847043
1693,33.956974,28.182248,33.956974,28.182248,34.658069,28.98991,38.607602,30.667157
1020,46.036432,37.576047,46.036432,37.576047,46.723978,38.869689,52.614421,40.459336
1317,47.372433,38.798068,47.372433,38.798068,48.157406,39.990033,55.654013,41.225323
1705,26.966684,23.554154,26.966684,23.554154,27.257462,24.119115,30.784743,25.463266
1021,37.083628,31.474797,37.083628,31.474797,37.689916,32.358072,42.597234,33.746621
1322,48.922518,38.25532,48.922518,38.25532,49.591949,39.546755,56.585373,40.398056
1706,42.536014,36.252636,42.536014,36.252636,43.207877,37.335942,49.107398,38.749116
1023,44.26758,34.824401,44.26758,34.824401,44.944692,35.993538,51.105313,37.543864
1323,54.284062,41.279001,54.284062,41.279001,55.028636,42.59992,64.125338,43.236793
1717,28.319328,24.975525,28.319328,24.975525,28.714317,25.595907,31.744564,26.848213
1025,42.250871,35.453492,42.250871,35.453492,42.956722,36.566252,47.489697,38.502167
1324,37.375926,29.827068,37.375926,29.827068,37.69754,30.753048,42.666367,32.289272
1719,33.489204,29.06522,33.489204,29.06522,33.941466,29.826453,37.181834,31.231013
1031,26.920124,23.368397,26.920124,23.368397,27.426437,24.169129,29.892151,25.493374
1325,53.853047,42.458135,53.853047,42.458135,54.619898,43.871543,62.858138,45.162149
1729,53.716528,41.71084,53.716528,41.71084,54.096177,43.021909,62.261382,43.574232
1032,27.684725,23.754686,27.684725,23.754686,28.013781,24.531723,30.803054,26.376667
1326,37.283157,31.848158,37.283157,31.848158,37.935538,32.784091,43.710454,34.310319
1730,47.152354,39.000714,47.152354,39.000714,47.875022,40.070001,54.638099,41.078415
1044,50.990163,44.059243,50.990163,44.059243,52.087209,45.505356,58.770738,48.048593
1335,59.391464,49.64501,59.391464,49.64501,60.575767,51.024389,68.376609,53.351629
1747,60.258724,45.977291,60.258724,45.977291,60.889526,47.499142,71.719593,48.435395
1054,29.84205,26.424193,29.84205,26.424193,30.176616,27.181315,34.380669,28.916421
1336,35.871278,33.876645,35.871278,33.876645,37.52776,35.597764,40.410525,38.901226
1751,41.698177,37.86787,41.698177,37.86787,42.49299,38.941667,46.492853,41.71344
1055,30.860685,25.644842,30.860685,25.644842,31.355098,26.553687,35.183552,28.120684
1382,35.097409,30.508908,35.097409,30.508908,35.624818,31.44977,39.272973,33.271293
1754,55.303743,48.526771,55.303743,48.526771,56.212289,49.910402,62.273974,52.980787
1059,27.307632,27.21435,27.307632,27.21435,27.638223,27.942398,29.875381,30.075466
1383,38.468398,33.110782,38.468398,33.110782,38.79528,34.097799,43.426328,37.015992
1755,23.769748,21.353043,23.769748,21.353043,23.996884,21.9836,26.52197,24.025173
1064,39.912526,32.802956,39.912526,32.802956,40.443574,33.806262,45.365866,35.597062
1384,78.882188,70.954618,78.882188,70.954618,80.621463,73.184239,90.624777,77.353383
1760,42.444475,34.481926,42.444475,34.481926,42.962507,35.542599,49.009333,37.443371
1065,51.239906,39.751316,51.239906,39.751316,51.68177,40.982768,60.733877,42.470976
1415,44.795136,36.068912,44.795136,36.068912,45.255381,37.124807,52.325241,38.063396
1764,45.032041,34.738933,45.032041,34.738933,45.42452,35.960629,52.236923,37.116314
1077,28.237186,31.637108,28.237186,31.637108,28.46427,32.076162,30.371251,35.71351
1417,59.243152,48.191435,59.243152,48.191435,59.908059,49.555082,69.787559,50.360174
1765,35.602439,30.915245,35.602439,30.915245,36.142265,31.763795,40.133999,34.643916
1078,49.41928,44.174628,49.41928,44.174628,49.986983,45.458332,56.221346,48.840513
1418,57.739448,51.500477,57.739448,51.500477,58.971533,52.927412,64.107612,58.220183
1766,43.527219,37.07591,43.527219,37.07591,44.177452,38.089592,49.071383,40.532626
1112,46.296588,45.230594,46.296588,45.230594,47.228746,46.424431,51.791619,49.413944
1420,34.652461,28.540697,34.652461,28.540697,35.016113,29.430795,40.227588,30.848077
1767,40.68727,35.30598,40.68727,35.30598,41.353898,36.204866,46.378016,38.644727
1113,42.852298,36.449054,42.852298,36.449054,43.469152,37.462333,49.849687,39.602326
1423,28.157461,25.602158,28.157461,25.602158,28.589672,26.236973,31.503242,28.071121
1768,34.675836,28.550151,34.675836,28.550151,35.238414,29.374841,39.56616,31.068591
1144,31.64649,29.375887,31.64649,29.375887,32.273609,30.285591,35.132307,33.003411
1456,23.572686,20.350662,23.572686,20.350662,23.784511,20.949613,25.934003,22.690558
1777,34.969775,29.983843,34.969775,29.983843,35.485052,30.796161,39.466337,33.024233
1149,28.942308,26.621491,28.942308,26.621491,29.222097,27.287914,31.778329,29.598443
1505,30.731911,27.91343,30.731911,27.91343,31.23265,28.630713,35.758438,29.902646
1778,22.187026,19.880745,22.187026,19.880745,22.480204,20.314476,24.046337,21.891993
1150,41.07335,33.532925,41.07335,33.532925,41.786207,34.358625,48.088269,35.025535
1507,49.97192,39.844526,49.97192,39.844526,50.606406,41.050781,58.512156,41.968905
1790,35.273191,31.442666,35.273191,31.442666,35.883602,32.221239,39.019031,34.895901
1151,71.687855,56.966342,71.687855,56.966342,73.154037,58.793902,83.21059,61.502107
1508,43.376206,33.76971,43.376206,33.76971,43.971869,34.747218,50.276364,35.627407
1797,36.650822,30.313619,36.650822,30.313619,37.019775,31.216957,42.432352,31.946515
1166,29.51429,26.606793,29.51429,26.606793,29.977113,27.363388,32.773286,29.178762
1509,36.946019,32.394821,36.946019,32.394821,37.69933,33.271167,41.530939,36.104689
1798,35.629613,29.956702,35.629613,29.956702,36.215839,30.862306,41.46029,31.845148
1169,28.32771,25.909273,28.32771,25.909273,28.65169,26.591494,31.600416,28.157602
1537,31.656365,30.275064,31.656365,30.275064,32.08611,31.063963,34.630896,33.696625
1841,35.78642,32.036867,35.78642,32.036867,36.348195,32.866176,40.266612,35.540176
1187,17.424368,16.141742,17.424368,16.141742,17.391184,16.477044,18.702706,17.535563
1558,36.482185,31.546151,36.482185,31.546151,37.090273,32.52162,40.076874,35.344448
1842,54.70836,47.099433,54.70836,47.099433,55.60465,48.54155,61.85953,51.04715
1198,32.230591,27.997707,32.230591,27.997707,32.510076,28.735151,36.556018,29.812443
1569,45.020433,39.646782,45.020433,39.646782,45.331723,40.807799,50.082574,44.587814
1870,41.451415,34.915978,41.451415,34.915978,41.959054,35.940301,48.03992,37.727717
1208,55.125683,46.884022,55.125683,46.884022,56.083869,48.221524,63.264434,51.278346
1577,46.48945,36.99123,46.48945,36.99123,46.987618,38.200406,53.453422,39.585917
1871,16.350047,15.312142,16.350047,15.312142,16.458554,15.582382,17.774089,16.458238
1211,58.371504,47.764162,58.371504,47.764162,59.241443,49.344448,67.632978,51.62834
1578,35.276923,29.841381,35.276923,29.841381,35.770266,30.51155,38.649467,33.404374
1872,30.998339,27.022389,30.998339,27.022389,31.633893,27.841379,34.844449,29.969344
1239,30.857597,28.277427,30.857597,28.277427,31.047548,28.91578,35.333256,30.71507
1591,30.093942,28.667289,30.093942,28.667289,30.646152,29.324201,32.941649,31.768051
1875,36.583977,29.895301,36.583977,29.895301,36.952283,30.608107,42.215549,31.81146
1240,26.082035,24.798904,26.082035,24.798904,26.530498,25.341459,28.889628,27.773027
1592,33.014221,29.472207,33.014221,29.472207,33.455942,30.194648,35.890167,33.275237
1876,21.754335,20.530998,21.754335,20.530998,21.844321,21.065535,23.616576,22.540741
1278,53.844578,43.955122,53.844578,43.955122,54.806867,45.391215,62.199232,47.234909
1599,36.712479,31.758679,36.712479,31.758679,37.161707,32.759446,40.306726,35.114335
1878,36.465579,31.307774,36.465579,31.307774,37.102751,32.208443,40.667544,34.201261
1279,55.483283,44.334271,55.483283,44.334271,56.17146,45.782591,63.864049,47.029347
1600,37.120911,32.61587,37.120911,32.61587,37.921726,33.548258,42.430616,36.440315
1884,39.490739,35.374588,39.490739,35.374588,39.996986,36.383142,44.120822,40.387109
1280,36.588596,29.984434,36.588596,29.984434,37.057784,30.896271,42.948325,31.858193
1615,45.342605,42.180079,45.342605,42.180079,46.470078,43.395438,50.388256,47.388767
1888,39.029062,34.982344,39.029062,34.982344,39.673945,35.928877,43.113203,38.770463
1281,47.141207,37.35812,47.141207,37.35812,47.728208,38.496602,54.349865,39.584618
1616,32.356219,27.645089,32.356219,27.645089,32.82228,28.380682,36.931614,29.699354
1896,25.096963,22.985428,25.096963,22.985428,25.427917,23.60676,27.765817,25.234195
1282,35.476398,27.974856,35.476398,27.974856,35.942887,28.735844,41.383696,29.908806
1629,38.11374,35.561059,38.11374,35.561059,38.778863,36.433232,43.011111,40.062856
1940,47.197443,41.457898,47.197443,41.457898,48.098413,42.709439,55.235318,45.430485
1283,44.233393,38.338458,44.233393,38.338458,45.039386,39.415986,51.06617,41.807567
1648,33.105514,28.670612,33.105514,28.670612,33.7272,29.454572,37.284451,31.929609
1284,38.039622,30.941686,38.039622,30.941686,38.248497,31.809737,43.911592,32.860055
1657,28.013127,27.040227,28.013127,27.040227,28.652037,27.802055,31.050431,30.113959
