sub	ses	age	gender	handedness
A00086748	BAS1	38	M	R
A00086551	BAS1	40	F	R
A00086551	FLU1	41	F	R
A00086474	BAS1	58	F	R
A00086474	FLU1	59	F	R
A00086467	BAS1	11	M	R
A00086467	TRT	11	M	R
A00086259	BAS1	46	F	R
A00086259	FLU1	47	F	R
A00086238	BAS1	41	F	R
A00086169	BAS1	42	F	R
A00086169	FLU1	42	F	R
A00085951	BAS1	59	M	R
A00085951	FLU1	59	M	R
A00085942	BAS1	7	F	L
A00085942	FLU1	8	F	L
A00085942	TRT		F	L
A00085927	BAS1	57	F	R
A00085927	FLU1	58	F	R
A00085907	BAS1	69	M	R
A00085907	FLU1	70	M	R
A00085906	BAS1	61	F	R
A00085906	FLU1	61	F	R
A00085866	FLU1	57	F	
A00085864	BAS1	58	F	R
A00085828	BAS1	69	F	L
A00085828	FLU1	69	F	L
A00085797	BAS1	70	F	L
A00085797	FLU1	71	F	L
A00085796	BAS1	44	F	R
A00085796	FLU1	46	F	R
A00085795	BAS1	14	F	R
A00085795	FLU1	15	F	R
A00085795	TRT	14	F	R
A00085743	BAS1	71	F	L
A00085743	FLU1	72	F	L
A00085680	BAS1	43	M	R
A00085665	BAS1	63	M	R
A00085665	FLU1	64	M	R
A00085406	BAS1	48	F	R
A00085391	BAS1	66	M	R
A00085298	BAS1	9	F	R
A00085298	FLU1	10	F	R
A00085298	TRT	9	F	R
A00085297	BAS1	58	F	R
A00085297	FLU1	59	F	R
A00085290	BAS1	55	F	R
A00085290	FLU1	57	F	R
A00085095	BAS1	69	F	R
A00085066	BAS1	67	F	R
A00085066	FLU1	68	F	R
A00085057	BAS1	69	M	R
A00085052	BAS1	63	F	R
A00085003	BAS1	7	F	R
A00085003	FLU1	8	F	R
A00085001	BAS1	9	F	R
A00085001	FLU1	10	F	R
A00084956	BAS1	49	F	R
A00084956	FLU1	50	F	R
A00084921	BAS1	39	M	L
A00084901	BAS1	58	F	R
A00084901	FLU1	59	F	R
A00084119	BAS1	64	F	R
A00083983	BAS1	70	F	L
