participant_id,session,age,gender,handedness
A00008399,BAS1,23,M,R
A00018030,BAS1,11,F,L
A00018030,FLU1,13,F,L
A00018030,TRT,13,F,L
A00023510,BAS1,23,M,R
A00027159,BAS1,11,M,R
A00027159,FLU1,13,M,R
A00027159,TRT,13,M,R
A00027167,BAS1,14,F,R
A00027167,FLU1,16,F,R
A00027167,TRT,16,F,R
A00027439,BAS1,15,M,R
A00027439,FLU1,17,M,R
A00027439,TRT,17,M,R
A00027443,BAS1,15,M,R
A00027544,BAS1,22,M,R
A00028177,BAS1,24,F,R
A00028287,BAS1,21,F,R
A00028352,BAS1,23,F,R
A00028429,BAS1,20,F,R
A00028606,BAS1,22,M,R
A00028656,BAS1,20,F,R
A00028694,BAS1,25,F,R
A00028766,BAS1,19,M,R
A00028844,BAS1,19,M,R
A00029076,BAS1,20,M,R
A00029092,BAS1,20,F,R
A00029127,BAS1,23,M,R
A00029231,BAS1,23,F,R
A00029303,BAS1,19,F,R
A00029979,BAS1,20,F,R
A00030913,BAS1,18,M,R
A00030980,BAS1,13,F,R
A00030981,BAS1,14,F,R
A00031145,BAS1,18,M,R
A00031166,BAS1,21,M,R
A00031216,BAS1,18,F,R
A00031217,BAS1,18,M,R
A00031219,BAS1,17,F,R
A00031219,BAS2,21,F,R
A00031272,BAS1,22,F,R
A00031410,BAS1,9,F,L
A00031411,BAS1,9,F,R
A00031459,BAS1,20,M,R
A00031549,BAS1,23,F,R
A00031578,BAS1,10,F,R
A00031604,BAS1,25,F,R
A00031881,BAS1,15,M,R
A00031881,FLU1,17,M,R
A00031881,FLU2,19,M,R
A00031881,TRT,17,M,R
A00032007,BAS1,20,M,R
A00032008,BAS1,6,F,
A00032817,BAS1,11,M,L
A00033180,BAS1,18,F,R
A00033231,BAS1,18,M,R
A00033247,BAS1,22,M,R
A00033248,BAS1,21,M,R
A00033640,BAS1,21,M,L
A00033714,BAS1,15,M,R
A00033714,FLU1,16,M,R
A00033714,FLU2,18,M,R
A00033714,TRT,16,M,R
A00034073,BAS1,16,M,R
A00034074,BAS1,17,F,R
A00034350,BAS1,11,M,R
A00034350,FLU1,13,M,R
A00034350,TRT,13,M,R
A00034854,BAS1,21,F,R
A00034854,BAS2,23,F,R
A00035291,BAS1,13,F,R
A00035291,FLU1,14,F,R
A00035292,BAS1,11,M,R
A00035292,FLU1,12,M,R
A00035292,FLU2,14,M,R
A00035292,TRT,12,M,R
A00035363,BAS1,22,M,R
A00035364,BAS1,12,M,R
A00035364,FLU1,14,M,R
A00035377,BAS1,15,F,L
A00035377,FLU1,16,F,L
A00035377,FLU2,18,F,L
A00035553,BAS1,23,M,R
A00035561,BAS1,11,M,R
A00035561,FLU1,12,M,R
A00035561,FLU2,14,M,R
A00035608,BAS1,24,M,R
A00035840,BAS1,25,F,R
A00035869,BAS1,12,F,L
A00035879,BAS1,22,M,R
A00035881,BAS1,24,F,R
A00035926,BAS1,21,M,R
A00035940,BAS1,16,M,R
A00035940,FLU1,17,M,R
A00035941,BAS1,14,F,R
A00035945,BAS1,13,M,R
A00035945,FLU1,14,M,R
A00035945,TRT,14,M,R
A00035960,BAS1,21,F,L
A00037123,BAS1,18,F,R
A00037125,BAS1,7,F,R
A00037126,BAS1,12,M,R
A00037126,BAS2,16,M,R
A00037126,TRT,16,M,R
A00037160,BAS1,18,M,R
A00037266,BAS1,24,M,L
A00037368,BAS1,12,M,R
A00037378,BAS1,24,M,R
A00037387,BAS1,18,M,R
A00037458,BAS1,16,F,R
A00037459,BAS1,13,M,L
A00037476,BAS1,20,M,R
A00037483,BAS1,11,M,R
A00037531,BAS1,21,F,R
A00037647,BAS1,24,F,R
A00037877,BAS1,19,F,R
A00038158,BAS1,18,M,R
A00038159,BAS1,18,M,R
A00038285,BAS1,19,M,R
A00038522,BAS1,25,M,R
A00038603,BAS1,8,F,R
A00038605,BAS1,20,F,R
A00038706,BAS1,13,M,R
A00038718,BAS1,21,M,R
A00038731,BAS1,21,F,R
A00038831,BAS1,23,M,R
A00038832,BAS1,19,F,R
A00039075,BAS1,16,M,R
A00039143,BAS1,24,F,R
A00039159,BAS1,18,F,R
A00039463,BAS1,25,F,R
A00039636,BAS1,23,M,R
A00039686,BAS1,21,F,R
A00039755,BAS1,22,F,R
A00039819,BAS1,24,M,R
A00039866,BAS1,12,F,R
