Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1454,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977
,,,,datatype-anat_suffix-T1w__2,datatype-anat_suffix-T1w,2,206,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,,,i-,1.9,,False,1.0,0.977,0.977
,,,,datatype-anat_suffix-T1w__3,datatype-anat_suffix-T1w,3,17,,,,,,,False,0,,,,,,,,False,,,
,,,,datatype-anat_suffix-T1w__4,datatype-anat_suffix-T1w,4,14,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,True,2.0,1.0,,1.9,,False,1.0,0.977,0.977
,,,,datatype-anat_suffix-T1w__5,datatype-anat_suffix-T1w,5,8,176.0,256.0,256.0,0.003,,9.0,False,0,1.0,True,,,i-,1.9,,False,1.0,0.977,0.977
,,,,datatype-anat_suffix-T1w__6,datatype-anat_suffix-T1w,6,1,177.0,256.0,256.0,0.003,,9.0,False,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977
,,,,suffix-asl__1,suffix-asl,1,1415,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.8,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__2,suffix-asl,2,208,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,,,j-,3.8,,False,3.438,3.438,5.04
,,,,suffix-asl__3,suffix-asl,3,18,64.0,64.0,24.0,0.017,,90.0,False,0,80.0,True,2.0,0.875,j-,,,False,3.438,3.438,5.04
,,,,suffix-asl__4,suffix-asl,4,10,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,False,2.0,0.875,j-,3.8,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__5,suffix-asl,5,3,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,False,,,j-,3.8,,False,3.438,3.438,5.04
,,,,suffix-asl__6,suffix-asl,6,2,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.23,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__7,suffix-asl,7,2,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.08,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__8,suffix-asl,8,2,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.65,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__9,suffix-asl,9,2,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.82,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__10,suffix-asl,10,2,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.9,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__11,suffix-asl,11,2,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.01,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__12,suffix-asl,12,2,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.56,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__13,suffix-asl,13,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,,,j-,4.55,,False,3.438,3.438,5.04
,,,,suffix-asl__14,suffix-asl,14,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.24,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__15,suffix-asl,15,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.88,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__16,suffix-asl,16,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.19,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__17,suffix-asl,17,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,,,j-,3.91,,False,3.438,3.438,5.04
,,,,suffix-asl__18,suffix-asl,18,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.15,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__19,suffix-asl,19,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.34,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__20,suffix-asl,20,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.94,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__21,suffix-asl,21,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.98,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__22,suffix-asl,22,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.84,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__23,suffix-asl,23,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.52,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__24,suffix-asl,24,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.92,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__25,suffix-asl,25,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.1,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__26,suffix-asl,26,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.87,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__27,suffix-asl,27,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,74.0,True,2.0,0.875,j-,3.8,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__28,suffix-asl,28,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,,,j-,4.03,,False,3.438,3.438,5.04
,,,,suffix-asl__29,suffix-asl,29,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.14,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__30,suffix-asl,30,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.22,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__31,suffix-asl,31,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.12,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__32,suffix-asl,32,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.8,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__33,suffix-asl,33,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.07,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__34,suffix-asl,34,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.63,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__35,suffix-asl,35,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.36,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__36,suffix-asl,36,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.89,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__37,suffix-asl,37,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.09,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__38,suffix-asl,38,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,56.0,True,2.0,0.875,j-,3.8,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__39,suffix-asl,39,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.21,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__40,suffix-asl,40,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.51,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__41,suffix-asl,41,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.62,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__42,suffix-asl,42,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,4.32,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__43,suffix-asl,43,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.85,0.017,False,3.438,3.438,5.04
,,,,suffix-asl__44,suffix-asl,44,1,64.0,64.0,24.0,0.017,0.00027,90.0,False,24,80.0,True,2.0,0.875,j-,3.81,0.017,False,3.438,3.438,5.04
