Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,IntendedForKey08,IntendedForKey09,IntendedForKey10,IntendedForKey11,IntendedForKey12,IntendedForKey13,IntendedForKey14,IntendedForKey15,IntendedForKey16,IntendedForKey17,IntendedForKey18,IntendedForKey19,IntendedForKey20,IntendedForKey21,IntendedForKey22,IntendedForKey23,IntendedForKey24,IntendedForKey25,IntendedForKey26,IntendedForKey27,IntendedForKey28,IntendedForKey29,IntendedForKey30,IntendedForKey31,IntendedForKey32,IntendedForKey33,IntendedForKey34,IntendedForKey35,IntendedForKey36,IntendedForKey37,IntendedForKey38,IntendedForKey39,IntendedForKey40,IntendedForKey41,IntendedForKey42,IntendedForKey43,IntendedForKey44,IntendedForKey45,IntendedForKey46,IntendedForKey47,IntendedForKey48,IntendedForKey49,IntendedForKey50,IntendedForKey51,IntendedForKey52,IntendedForKey53,MultibandAccelerationFactor,NSliceTimes,NumberOfVolumesDiscardedByScanner,NumberOfVolumesDiscardedByUser,ParallelAcquisitionTechnique,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,SliceEncodingDirection,TotalReadoutTime,VolumeTiming
Dominant Group,,,,acquisition-100_datatype-func_suffix-bold_task-rest__1,acquisition-100_datatype-func_suffix-bold_task-rest,1,75,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,1,j-,3,,0.0346501,
NoFmap,,,acquisition-100NoFmap_datatype-func_suffix-bold_task-rest,acquisition-100_datatype-func_suffix-bold_task-rest__2,acquisition-100_datatype-func_suffix-bold_task-rest,2,2,,0.032,0.000550002,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,1,j-,3,,0.0346501,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__1,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,1,1,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,8.4,,0.0338665,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__2,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,2,1,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,9,,0.0338665,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__3,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,3,4,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,8.5,,0.0338665,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__4,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,4,1,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,8.3,,0.0338665,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__5,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,5,3,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,8.8,,0.0338665,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__6,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,6,2,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,8.2,,0.0338665,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__7,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,7,1,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,9.8,,0.0338665,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__8,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,8,1,,0.102,0.000799969,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,0.75,j-,12.3,,0.101596,
,,,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi__9,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,9,1,,0.082,0.000266666,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,3,0.75,j-,9.4,,0.0338665,
