sub,CBF_GM,CBF_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
8,46.582548,37.525568,45.9185,37.267917,40.971669,34.029215,45.280369,39.173957
18,74.035543,56.53611,72.303871,55.554086,65.035436,50.890542,71.475581,58.626423
28,37.967488,31.109719,37.598304,30.989118,33.135604,28.466564,36.281049,32.478185
38,37.420045,30.633247,37.2761,30.594067,35.369163,27.397611,38.791168,31.108389
48,35.72734,28.519259,35.040155,28.146961,33.161457,25.578292,36.774981,29.209705
58,36.368334,31.196879,35.711159,30.952013,33.524173,28.414411,36.984361,32.361021
9,59.764159,46.986062,58.951694,46.741623,52.270965,42.119589,57.889756,48.698691
19,43.189995,34.193604,42.791126,34.070179,38.437498,31.214758,41.965877,35.456869
29,59.413105,51.709384,58.99403,51.522411,53.12624,46.835223,59.388814,54.103694
39,21.711565,17.869361,21.172245,17.518759,19.863059,16.020863,22.450459,18.106979
49,35.222802,29.614412,35.190628,29.7358,32.872608,26.477301,36.084619,30.233969
59,34.071569,29.295963,33.497148,28.960986,31.512833,26.303233,34.767575,30.357932
10,48.400471,39.443903,47.176337,38.816243,42.278188,35.690515,46.84503,41.454449
20,59.296486,52.273194,58.671125,51.994832,52.496861,47.288961,57.695395,55.284005
30,67.308209,54.053991,66.949026,54.027204,59.611274,48.578509,65.509344,56.076365
40,34.955509,28.954851,34.716881,28.93536,32.199731,26.072056,36.103009,29.870111
50,28.164954,23.392935,28.015244,23.379951,26.711416,21.500695,29.105705,24.044279
60,45.760936,44.882329,45.534883,44.702088,43.295885,40.475893,47.639509,46.93801
1,46.188036,39.295184,45.714167,39.068427,41.696189,35.630087,45.876176,40.788364
11,53.897815,41.410011,53.605962,41.393882,48.102713,37.61126,52.924741,42.812543
21,56.159197,49.389879,55.994986,49.388628,50.29833,45.298048,55.369869,51.617789
31,60.284313,53.815789,59.970662,53.512018,53.16354,48.28141,58.471616,56.010161
41,33.650246,30.527848,33.233281,30.24713,31.613282,27.931685,34.927314,32.107542
51,24.929958,20.790038,24.284462,20.174558,22.622094,18.630148,25.570086,20.738483
61,21.119342,15.968236,21.0969,15.779969,18.44516,14.223547,21.126138,15.453309
2,57.824753,45.366683,57.025992,45.074603,50.71273,40.961046,55.715632,47.429692
12,54.679304,45.27985,53.642728,44.698565,48.692347,40.985142,53.685761,47.297372
22,28.916082,23.56538,28.830739,23.489296,25.832545,21.893188,28.370634,24.653755
32,51.025547,44.112314,50.732973,43.907204,47.455754,39.642752,52.151895,45.745151
42,30.889995,27.457152,30.888644,27.483497,28.94898,24.900447,32.091471,28.624521
52,25.758213,23.054892,25.065114,22.526022,24.373994,21.07275,26.836419,23.798408
62,40.221466,37.826005,39.993207,37.591695,37.392936,33.859287,41.133592,39.3682
3,72.468403,61.16813,71.167571,60.479283,64.461607,55.181345,70.831623,63.987062
13,52.713572,40.452623,52.555141,40.522461,46.177581,36.818487,50.670764,42.499655
23,41.771487,34.127838,41.271009,33.92167,36.781477,31.180883,39.795401,35.595203
33,28.315108,23.950998,27.656646,23.406806,25.82945,21.664383,28.586714,24.778878
43,37.525334,29.979705,36.967442,29.65152,35.10915,26.181583,38.558562,29.301829
53,24.513907,21.707712,24.194007,21.632683,22.438927,19.404153,25.252623,22.137262
63,33.169304,27.931653,32.988913,27.917913,30.768453,25.003509,34.344776,28.359371
4,54.699941,39.040103,53.647749,38.649532,47.892311,35.452524,52.141778,40.570768
14,56.99191,46.212929,56.567315,46.086914,50.341392,41.763914,54.463072,48.117468
24,41.546095,35.085271,41.272031,34.990814,36.654361,32.088326,40.272062,36.477811
34,32.780447,28.139789,32.37012,27.844464,30.11658,24.197109,34.214065,26.968059
44,37.556103,32.729545,36.654171,32.33269,34.531024,29.885292,38.06056,34.4925
54,30.696977,29.880623,30.146247,29.440973,28.731936,27.168167,32.127281,31.213998
5,60.522603,48.938052,60.069665,48.705229,54.135026,44.62259,59.471817,50.975372
15,43.572942,34.217851,42.864244,33.87983,38.461738,31.076684,42.624685,35.482651
25,61.523956,49.32302,61.11551,49.228243,53.455623,44.404182,57.972911,50.974838
35,25.587862,24.528167,24.863367,23.951041,23.517215,22.261777,26.391085,25.433247
45,29.95625,25.103498,29.584532,25.012974,27.929006,22.726396,30.409191,25.95454
55,17.999697,14.164845,17.585836,13.919005,16.70238,12.673011,18.591023,13.939207
6,49.885061,38.544934,49.46239,38.435693,44.411373,34.643345,48.75478,39.869087
16,51.252096,42.788608,50.580846,42.562421,45.572936,38.309097,50.239751,44.115023
26,48.106714,36.518352,47.80141,36.577825,42.983498,33.062093,47.475495,37.565773
36,33.613822,26.471783,33.404815,26.454503,30.985162,23.590749,34.425006,26.988094
46,26.224499,21.778434,27.028557,22.710062,24.967279,19.459935,27.510309,21.681923
56,26.978938,21.573876,26.31558,21.196681,25.484388,18.783242,28.27873,20.623186
7,47.954982,35.309661,47.447325,35.118781,42.089245,32.045641,46.876239,36.93034
17,42.344266,34.03654,41.938169,33.868455,38.020884,31.045332,42.072578,35.555159
27,57.846932,50.063434,56.888157,49.399048,51.972769,45.730676,57.025718,52.163212
37,35.023749,27.610324,33.742384,27.109934,31.789628,25.042859,34.897405,28.517158
47,31.946676,27.285336,31.965943,27.413698,29.685224,24.530728,33.005792,28.262958
57,45.548211,40.187642,45.615708,40.274139,42.86909,35.982168,47.077158,40.98241
