sub,CBF_GM,CBF_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
102041,42.806676,37.814949,40.68465,36.476017,38.662112,33.876568,49.570268,39.396397
116019,42.130009,38.077622,39.806218,36.39486,37.671097,34.731693,47.563693,37.983229
129405,54.131926,47.793228,51.473212,46.683413,47.700735,42.567159,59.194239,47.793776
20699,-19.110911,-18.770177,-23.545526,-29.386971,18.789505,18.030211,11.308809,18.178943
86486,48.942061,45.403185,46.092201,43.256018,44.511582,39.806348,56.519279,45.671043
93169,59.888372,52.723991,57.253034,51.451518,52.672471,46.454466,66.382557,51.695608
103679,47.713269,45.741661,45.229579,43.524741,41.647362,39.52659,52.075728,44.388563
116051,61.53081,59.369403,58.463198,57.13454,53.767205,53.15672,70.042785,59.676326
129552,24.108156,20.770118,22.870103,20.11766,21.654434,18.884822,27.389888,19.694763
20809,785.919103,713.876847,985.632111,932.066961,781.689998,733.798425,839.106497,840.765568
86722,45.745059,43.147262,43.615209,41.103519,41.623368,38.441325,57.707876,42.166466
104059,45.279093,40.858754,43.129156,39.574312,42.501665,38.991178,52.233676,48.156158
116210,32.217917,27.712766,28.13083,25.895926,28.249538,24.641644,34.282254,25.337856
129720,40.749271,36.451373,38.587815,35.132389,36.162624,32.640225,47.13918,37.914521
20888,65.918456,57.551788,62.700904,55.99298,59.143175,52.538862,77.492683,59.752258
86924,38.780154,36.191248,37.093817,35.094193,34.582537,31.689718,41.61876,38.577231
93278,34.892221,33.30331,33.580267,32.002166,31.036516,29.220835,38.723079,34.273505
104235,37.448624,33.331826,34.207485,31.124189,32.840203,29.499925,42.07097,32.474222
116354,63.344914,61.330624,58.989828,57.721455,56.556964,54.299383,71.081897,64.134055
129886,56.846738,50.541931,51.514603,48.007925,48.517472,44.721934,64.785347,49.528363
20940,18.417818,19.095437,17.326161,17.925238,32.230479,31.153222,37.648389,35.868645
86972,58.070418,52.985655,52.385269,48.411361,51.599492,46.609559,67.160511,50.65244
93292,48.535625,47.880289,45.548682,44.743769,42.710886,42.045746,53.151633,48.007216
104785,56.388739,48.214299,52.610887,46.319995,49.612992,43.005093,63.950212,47.589432
116360,40.55799,36.633587,39.374763,36.05787,34.168962,31.855149,41.728844,35.039259
129926,51.040439,45.974959,48.571519,44.346065,44.6734,40.385706,57.975614,44.799363
20941,66.726681,62.380425,58.647198,54.465712,55.166636,49.940615,69.155717,58.162118
87135,49.295609,42.896604,47.195688,42.083801,41.629444,37.805917,51.637445,43.404593
93406,47.357016,44.665839,45.123293,43.061893,41.258307,40.177856,49.59808,48.627066
105168,35.1994,32.21429,33.398537,30.694602,32.028722,28.450147,41.337311,30.772988
117226,50.082048,48.182364,47.040483,45.412681,45.270874,43.862649,53.971141,52.966706
130121,40.24095,41.227812,37.794254,36.454763,35.498764,35.004515,42.804578,43.840047
20949,42.267271,38.340908,40.052495,36.679691,37.865714,33.959424,47.655644,38.655059
87346,33.174302,27.991993,31.586016,27.114619,29.852804,25.301494,39.373601,26.761204
93517,41.371419,36.813273,38.985362,35.145089,36.532152,32.850948,48.692326,36.031282
105176,47.372826,40.675871,45.382198,39.787251,42.094695,36.530993,53.653071,42.29705
117397,39.313135,36.267173,36.445476,34.199539,34.894018,32.461281,44.570136,35.819265
130211,49.370046,43.985226,47.546665,43.141275,44.441332,40.120245,57.396963,44.830837
20963,54.196429,52.96126,49.505711,47.980242,47.217243,46.001193,57.921796,55.760812
87445,67.338412,58.654416,58.899695,55.715349,55.400564,52.187185,72.110998,61.736281
93549,43.76949,39.411261,41.099752,37.475377,38.746613,34.77152,50.034194,36.979398
105309,52.113405,46.524787,49.78353,44.991725,45.560195,41.569001,57.787338,46.64933
118393,26.472917,23.624204,25.607749,23.972875,24.096056,21.612324,28.268668,24.801098
130687,55.601948,47.826794,53.740255,47.180273,50.318193,44.057482,63.136119,53.123866
20974,92.485504,89.806553,9.719852,8.302012,270.128247,324.636505,200.950787,165.63306
87457,-8.282487,-7.431861,-10.26228,-9.678898,4.478052,3.466474,3.673454,5.912289
93723,48.279632,69.297795,45.256147,60.452142,163.346671,147.417082,171.973912,162.53713
105767,46.836325,43.298964,44.561769,41.944396,41.565387,38.908471,51.693603,45.72372
118864,67.834922,62.206967,64.774805,60.093747,60.207376,54.772215,75.886178,64.205915
130759,56.988279,49.072386,54.546733,47.692951,50.289251,44.093916,59.909499,50.888098
20981,18.650121,16.41314,17.810571,16.586091,15.860695,14.66281,20.034221,15.841173
87538,46.958899,41.861251,44.786474,40.851959,42.760199,38.734594,56.137084,42.834265
93734,43.860722,42.188261,40.410969,38.727487,39.001446,37.144977,49.492414,42.511504
105860,48.95095,43.695203,46.99173,42.195577,43.318981,37.62322,58.243983,39.281961
119302,41.147971,35.78552,38.031533,34.543699,35.10692,32.046133,42.48105,35.741724
131224,38.668361,39.073705,35.838026,33.542078,34.866433,32.246919,43.931551,36.744695
21016,62.521904,58.803219,57.182132,54.587444,56.854888,52.755235,74.038256,53.69123
87563,53.986846,49.361429,50.619685,46.833858,48.590293,44.296422,62.353358,48.283389
93787,62.435276,56.684312,58.470435,54.307954,55.068523,50.922808,70.265406,56.486956
105979,53.40634,49.275734,51.205888,47.537175,47.672426,43.688629,59.753926,52.352684
119791,54.685401,51.601332,52.377952,49.288662,48.30846,44.554577,58.789752,51.410116
131867,51.417975,46.126452,48.476252,44.373644,46.33924,41.805733,61.2094,43.486629
21056,49.076788,46.639007,45.75171,43.906888,43.931989,41.865711,54.384734,49.91396
87601,44.405464,39.876317,41.979466,38.336785,39.702342,36.081204,51.639106,39.328061
93856,55.168352,52.029514,51.947979,49.245105,49.118881,45.362885,59.667636,52.539505
106039,47.814271,40.962501,41.553899,38.452552,41.36655,37.221242,54.503732,40.894425
120217,42.00818,38.531417,39.960661,36.231446,37.413714,33.213272,49.116864,36.590213
132179,44.187791,39.797685,41.042504,37.791076,38.569381,35.570709,47.889329,43.285398
21059,52.557564,50.287578,52.510314,50.670929,46.79619,45.356595,56.731933,55.850047
87646,50.531196,46.132913,47.008323,43.798384,44.418115,40.898756,56.461739,46.906216
94276,45.037721,40.495712,42.455244,38.365586,40.455504,35.486143,52.143032,39.558895
120562,,,,,,,,
132224,53.335583,45.863704,50.539278,44.726539,48.336839,41.619291,61.058615,46.492596
21085,50.406563,47.424393,47.967075,45.392294,44.857937,41.422393,59.410985,45.805549
87804,55.598932,50.945044,51.955937,48.575168,48.550279,44.817121,60.878361,48.432979
94492,28.028711,25.720237,26.605213,24.721829,25.061137,22.878615,32.152613,26.816414
106246,48.030224,44.523847,45.897746,42.903159,43.554178,39.743381,59.264953,42.473827
121001,45.211216,40.216533,43.517689,39.187748,40.244912,36.183609,54.430878,40.293779
132657,55.285772,49.787294,50.318561,46.764897,47.98798,43.583461,63.347093,48.687295
80557,59.382835,54.078844,56.699163,52.626179,52.609568,48.227115,64.095442,58.025078
87990,38.304212,34.634822,35.22087,32.283946,32.772617,30.465976,38.201157,35.547664
94848,39.905955,36.500824,37.370706,34.595485,35.368635,32.703538,43.589497,38.416392
106331,41.943723,32.693752,35.371282,31.463286,34.455029,29.254472,46.853724,31.900916
121050,64.493884,65.530615,59.802506,57.777984,57.472832,56.514671,74.781629,69.545344
133220,33.235342,23.583136,2.664704,2.038671,161.37536,189.137831,116.500666,79.120822
80688,51.704672,47.573524,49.485483,46.301231,44.347564,42.045073,56.885465,48.557622
88209,59.635246,53.562423,53.848137,49.672921,51.949821,47.149217,66.492471,53.158782
95015,62.930936,57.4127,59.349226,54.830504,55.630714,50.102989,69.865298,58.285346
106802,56.197789,51.247198,54.037102,49.9656,50.443086,46.308837,64.692885,52.704325
121085,44.524417,40.901971,41.622023,38.021477,39.234752,35.182332,48.465122,39.962803
139272,51.317495,47.40883,48.849898,45.839826,44.766654,42.137005,55.481302,48.358847
81725,102.089775,95.095877,97.669996,92.229901,89.936613,83.98415,114.554564,103.124806
88402,47.104739,43.956693,43.656006,41.114849,41.687933,38.772596,53.153645,44.817437
95057,51.253583,44.041377,46.192708,43.039869,41.709683,38.705295,53.81989,43.970424
106880,49.342691,46.713353,46.601708,44.350908,44.273237,41.557015,53.821893,49.149293
121407,62.385086,57.867602,59.777107,56.0368,56.162379,51.829314,72.140059,62.423171
19977,70.086196,64.905042,65.378954,61.708897,62.310635,58.245031,79.637975,68.730639
81760,48.352737,44.929706,45.972711,42.813341,42.506778,39.508049,53.091605,45.439239
88589,50.895626,42.973986,48.616113,41.957269,44.811041,38.003514,59.127955,40.687505
95116,51.66924,47.338503,48.215654,46.117717,45.305189,42.699795,56.619433,52.957269
107055,41.295475,40.242065,36.612624,34.984192,35.086476,34.02083,43.629062,41.181132
121670,46.23468,40.331669,43.882037,39.313186,39.378293,35.388705,47.144731,41.908586
19981,52.604885,49.611044,50.467935,47.898153,48.069657,45.144193,64.381374,51.150563
82051,47.421058,45.260173,44.206463,42.417323,41.904647,39.573029,52.115224,47.254421
88608,61.225091,57.133113,58.907024,55.071262,53.68657,49.19586,66.926676,55.643823
95460,47.318738,42.684206,45.107475,41.268006,42.217384,38.26696,53.938996,42.509778
