subject,session,AcqGroup
sub-A00008326,BAS2,1
sub-A00074114,BAS1,1
sub-A00074113,BAS1,1
sub-A00074095,BAS1,1
sub-A00074047,BAS1,1
sub-A00074034,TRT,1
sub-A00074034,FLU2,1
sub-A00074034,FLU1,1
sub-A00074034,BAS1,1
sub-A00073953,FLU1,1
sub-A00073953,BAS1,1
sub-A00073942,FLU2,1
sub-A00073942,FLU1,1
sub-A00073942,BAS1,1
sub-A00073940,FLU1,1
sub-A00073705,BAS1,1
sub-A00073677,FLU2,1
sub-A00073677,FLU1,1
sub-A00073677,BAS1,1
sub-A00074113,FLU1,1
sub-A00074114,FLU1,1
sub-A00074687,BAS1,1
sub-A00074114,FLU2,1
sub-A00074657,BAS1,1
sub-A00074652,BAS1,1
sub-A00074641,FLU1,1
sub-A00074641,BAS1,1
sub-A00074639,BAS1,1
sub-A00074618,BAS1,1
sub-A00074609,BAS1,1
sub-A00074607,TRT,1
sub-A00074607,FLU2,1
sub-A00074607,FLU1,1
sub-A00074607,BAS1,1
sub-A00074482,BAS1,1
sub-A00074439,FLU1,1
sub-A00074439,BAS1,1
sub-A00074427,TRT,1
sub-A00074427,FLU2,1
sub-A00074427,FLU1,1
sub-A00074427,BAS1,1
sub-A00074425,BAS1,1
sub-A00073611,BAS1,1
sub-A00073600,BAS1,1
sub-A00073539,FLU2,1
sub-A00073539,FLU1,1
sub-A00066926,BAS1,1
sub-A00066871,BAS1,1
sub-A00066864,FLU1,1
sub-A00066864,BAS1,1
sub-A00066860,TRT,1
sub-A00066827,BAS1,1
sub-A00066822,BAS1,1
sub-A00066820,BAS1,1
sub-A00066812,BAS1,1
sub-A00066800,BAS1,1
sub-A00066788,BAS1,1
sub-A00066784,FLU1,1
sub-A00066782,FLU1,1
sub-A00066782,BAS1,1
sub-A00066781,BAS1,1
sub-A00066735,BAS1,1
sub-A00066698,TRT,1
sub-A00066698,BAS1,1
sub-A00067062,BAS1,1
sub-A00067062,FLU1,1
sub-A00067146,BAS1,1
sub-A00073303,BAS1,1
sub-A00073539,BAS1,1
sub-A00073529,BAS1,1
sub-A00073525,FLU2,1
sub-A00073525,FLU1,1
sub-A00073525,BAS1,1
sub-A00073308,BAS1,1
sub-A00073303,TRT,1
sub-A00073303,FLU1,1
sub-A00073296,BAS1,1
sub-A00067146,TRT,1
sub-A00073283,BAS1,1
