sub,ses,CBF_GM,CBF_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
A00034350,TRT,57.333009,36.67082,56.838719,36.629992,62.414239,45.366285,72.294152,66.574083
A00034350,FLU1,67.689875,39.35729,66.527875,39.28299,74.038689,48.512549,86.614708,71.737988
A00063003,TRT,45.875603,28.351726,41.904982,25.503033,53.96984,39.042764,64.563375,57.862838
A00063003,BAS1,52.167126,24.614169,49.860228,23.559617,57.028494,36.509402,71.009969,50.622721
A00063003,FLU1,46.726892,24.511198,45.556945,25.043893,52.077379,35.107314,62.69821,50.076403
A00052319,BAS1,54.765252,40.091367,54.894593,40.369393,59.124124,45.212112,67.364835,68.306287
A00074769,BAS1,43.881883,31.274644,40.283709,28.267283,48.874194,36.816656,56.695772,53.0635
A00074769,FLU1,51.877126,38.029038,42.211734,33.819106,55.061666,45.714403,64.747048,67.814031
A00075674,BAS1,39.855269,23.799751,40.30308,23.75016,45.510051,32.14118,54.317038,45.215591
A00064081,BAS1,71.598946,50.679348,71.466463,50.66631,77.617372,58.83675,89.178647,88.55661
A00064081,FLU2,50.968231,35.671916,50.575699,35.849494,55.184638,42.86601,63.242581,63.635866
A00064081,FLU1,50.772571,35.463055,50.29755,35.507291,55.516266,42.470384,63.689606,62.75038
A00073677,BAS1,47.796073,27.105899,44.444784,26.552027,51.757741,37.518266,63.998023,52.22599
A00073677,FLU2,63.920891,42.526478,62.756905,42.460688,71.31777,53.836853,86.538675,80.128572
A00073677,FLU1,46.126469,40.834263,51.129488,42.58312,54.428227,49.66811,64.019262,77.245725
A00062081,TRT,60.592004,33.889738,60.35788,34.246215,64.668103,42.166367,77.388552,60.716105
A00062081,BAS1,65.349007,31.155023,65.583198,32.226286,71.201554,43.204909,85.575067,61.931954
A00062081,FLU2,60.993405,32.998924,60.89733,33.180247,65.697366,41.801813,78.772593,60.200347
A00062081,FLU1,61.829683,34.534906,61.000409,34.917175,65.950696,43.312503,78.183619,62.908777
A00051063,BAS1,60.335597,27.039413,60.244653,27.496619,63.683571,37.399188,75.443031,51.529932
A00074641,BAS1,40.807356,25.540967,40.764782,25.728791,45.701279,32.024954,54.016631,46.23805
A00074641,FLU2,43.550744,26.548577,42.689798,25.920322,48.160151,33.281795,57.042694,47.870942
A00074641,FLU1,39.398778,27.438835,39.659426,28.179888,43.580665,33.824114,51.031125,50.102191
A00080452,BAS1,60.98523,20.285407,57.958574,20.216615,64.736155,34.490192,86.547137,43.250203
A00044068,BAS1,44.287827,27.306749,42.540218,26.195844,47.628234,33.580906,56.193074,48.241507
A00081253,BAS1,47.979061,31.673526,46.850245,31.762099,53.368538,38.307673,62.183858,56.463579
A00081253,FLU1,47.36086,36.218714,46.207234,35.763697,53.360765,42.407846,61.053282,64.161598
A00056295,TRT,70.017897,39.206942,67.731766,39.803258,73.194901,48.753969,91.779475,71.349047
A00056295,FLU2,59.147807,36.174352,61.077143,40.302896,64.608618,46.104842,80.511235,67.881247
A00056295,FLU1,57.846291,30.973491,56.758372,30.874756,62.335659,40.819569,77.913409,58.813083
A00062411,BAS1,69.992654,36.831535,69.181957,36.734608,73.15358,45.91729,87.592105,65.65234
A00076595,TRT,52.365039,32.737417,51.199641,31.800901,55.800598,39.910734,67.047151,58.328136
A00076595,BAS1,51.370455,29.611274,50.809054,29.507983,53.77237,37.098486,65.544516,53.226047
A00076595,FLU2,34.528203,25.766482,45.851548,30.516107,41.397642,34.16663,47.484164,48.075225
