bblid,sub
80010,1832999514
80027,1208119374
80036,2480776643
80043,1190434769
80051,1020002775
80071,3433974759
80092,2734413984
80108,1607010397
80117,2699971156
80125,239862246
80134,4050338799
80137,1351352420
80149,4155427802
80152,579841022
80161,3558882253
80178,16866281
80179,2216595430
80185,3363721510
80196,3467873061
80199,1867827374
80208,278814796
80214,1314808270
80217,4021887557
80225,1092315639
80238,1663968368
80249,3103368139
80255,533936707
80263,1654508502
80265,1818459775
80268,3447995892
80271,413490640
80287,1513830073
80289,2748427955
80296,2179261236
80302,311124568
80305,1619041268
80321,1744239719
80342,1072920016
80345,1308134524
80348,3961507831
80351,960409555
80360,914073578
80370,3047795174
80373,817266153
80376,3143048271
80379,447766468
80391,571908779
80394,2851586829
80396,1344101127
80402,1804873845
80405,429902297
80417,1197459547
80425,3925705705
80429,3439662189
80434,383435232
80441,3287544818
80444,1209176660
80450,1020572155
80452,3309185521
80458,382899158
80466,1100628078
80468,1700976618
80484,1396350764
80487,4074626215
80492,3725993097
80498,234528430
80500,3710500974
80505,1455989192
80514,2851070913
80517,134783050
80520,759925342
80531,3530344535
80537,4167756410
80548,3663197643
80554,2224550985
80557,628144066
80566,248326271
80572,2047544272
80575,134279804
80578,2850533879
80586,3850858295
80589,1147153596
80603,2312088658
80606,36621812
80607,1512248949
80612,1994976859
80621,2152169064
80624,195436494
80632,2257233003
80652,1536227795
80655,698024063
80657,4102623217
80660,3519686117
80673,3607625702
80676,1558617664
80680,981492397
80683,3214915234
80686,880727812
80688,277233792
80690,3109186721
80693,1011726510
80698,2471775884
80701,1064459337
80703,3331900483
80706,1299817957
80713,1162529359
80715,1270120422
80718,3931323501
80724,1156675551
80743,3957380043
80746,1610723949
80759,1110769642
80765,360459346
80768,3030085593
80770,491734008
80772,3836074994
80775,2527994462
80785,4264979226
80787,589587604
80796,4177244441
80799,1495069330
80801,3608631689
80812,3520758666
80814,3743692323
80817,2126738856
80820,1535139772
80832,565758394
80837,2392932248
80842,2138085902
80854,4066124203
80857,1404789280
80866,2013724061
80877,2748917776
80886,2471279317
80889,850131294
80892,3884620154
80895,2508284118
80898,879108957
80904,329338942
80907,2990937013
