sub,CBF,SCRUB,BASIL,PVGM,PVWM
1000393599,4.328002851,4.007027343,5.470705128,5.95213407,6.578608392
2933325835,4.374350776,4.359691097,5.362936861,5.376351007,6.832388817
1000881804,4.290201461,4.889704276,5.425108018,5.405547154,7.415813633
2933490015,4.167411575,4.016152261,6.230694642,5.815965905,7.558313645
1001970838,4.143864451,3.951319307,5.575346646,5.637639233,7.577180864
2933854864,4.594397681,4.98972035,6.398809533,6.569548,7.892643574
100527940,5.355789246,5.176308747,6.961367822,5.606544754,8.303744813
2934644075,4.54374198,4.577592801,5.615190237,5.785470848,7.188549674
1006151876,4.358228607,4.273630616,5.496508834,5.638802598,6.981167782
2935256495,4.537771174,5.093198094,5.664114998,5.722098512,6.998473045
1007995238,4.461755141,4.718783664,6.359720118,5.534577383,7.874268019
2939120682,4.57726285,5.125777582,5.586481241,5.340859081,8.409771192
1011497669,4.48114713,4.139551596,5.558091509,5.732921478,7.038070749
2939479952,3.908322801,3.919614426,5.098074782,6.071527684,6.683801034
1012530688,7.013351229,4.071424405,9.229437842,11.59312747,9.537165667
2943493898,4.206889719,4.157709458,5.64255747,5.706466378,7.340078481
1017092387,4.199676584,4.016922686,5.863400075,5.540252679,6.615342775
2944925114,5.163247687,4.58825019,6.532518265,5.517455882,7.680451927
1020132225,4.28759815,4.2907066,6.569643819,6.081783884,6.964296539
2947976933,4.210975731,3.871687994,5.24570751,5.708246148,6.708575378
1023701836,4.331866045,5.191793153,5.644200621,5.771325781,7.852615193
2951167051,3.97278808,3.958633518,6.287525882,6.211718153,6.574244686
1025031408,4.364909581,4.955230533,6.656699938,6.014412407,8.144776087
2967555571,4.619611024,4.413808108,6.073570806,5.891899737,7.578240252
1027389114,4.796072529,4.50447003,6.571767483,6.777790885,7.659888763
296947353,4.261862815,4.252487612,6.140578695,5.681272801,6.9657043
1030193285,4.050976272,3.934038491,5.229861779,5.453966446,6.599739981
2970389523,4.275721974,4.272116904,6.185754982,5.739892797,6.992197295
103652366,4.628412455,5.155458654,6.661146914,5.913379962,7.107322939
2972126748,4.267998818,4.254781664,6.057629861,5.247988264,7.454334559
1037644062,4.188139432,4.132613428,5.408856202,5.714139373,6.770061107
2976850765,4.045313068,4.020434212,5.869060497,5.367658926,6.846446057
1039797417,5.071623103,4.300575724,6.671084097,8.049906367,7.747449036
2978762615,4.360660507,4.315132242,6.319155254,5.722007181,7.061582347
1039936647,4.136000692,4.092922778,5.528251871,6.096705341,6.742759559
2979786632,4.314073603,4.811721118,6.289768177,5.537433243,8.313520284
1043634177,4.233121072,4.266880785,5.583864081,5.79647629,7.228476202
29811890,4.289536,4.489336906,6.461745433,5.687410825,7.671406091
1044438549,4.437246257,4.454083752,5.490394739,5.305282121,7.487849515
2981829638,4.372409309,4.91245278,5.792556554,5.824210945,8.192050431
1046353426,4.146541868,4.415664665,5.494902052,5.480301669,8.113818644
2982184070,4.255100842,4.129520643,5.701007024,6.343426532,7.574333082
1046399178,4.672424634,4.150555398,5.448917002,5.992981821,7.577163037
2988053796,4.392571196,4.389361397,5.281318734,5.320192748,7.798679559
1048162151,4.338257455,4.778017781,5.584034017,5.510275419,7.517719172
2990984557,4.646163514,4.264338791,5.9273773,6.597154519,7.057353279
1050116930,4.223717778,4.279706576,5.414100646,5.702137793,7.392172999
2991801804,3.959642732,4.000119242,6.135568646,5.50564858,6.983870703
1057423710,4.132789051,4.033803596,5.914369985,5.980542687,7.263567768
2994983988,4.547690805,4.383578235,6.121075736,6.191235948,7.458501732
105914514,4.25791836,4.3933443,6.65008197,6.14145624,7.34613636
2996472019,4.414269479,5.022953115,5.39640844,5.552035325,7.220634515
1060532313,4.16180608,4.142243578,5.796455454,5.967581639,6.637353171
299894413,4.47327672,4.466045508,5.4375809,5.714960027,6.650253069
1060668554,4.387640677,4.891207776,5.377775945,5.474856664,7.117661273
3010264843,3.894463836,3.977284031,5.901671374,5.365940516,6.464375097
1065666069,3.816216994,3.632762564,5.491083783,5.881766056,6.601156941
3010354631,4.170944882,4.175321238,6.339822806,5.849074303,7.588223848
1068261111,4.928350694,4.22216761,5.898202623,6.08984366,8.13996948
3014879953,4.229083798,4.195994169,5.564031898,5.801943743,6.782954094
1070737504,4.186434845,4.318168784,5.259557358,5.571332754,7.230942768
3016118416,4.486000271,4.714783394,6.232827472,6.283654323,7.021055967
107578676,4.978500026,4.932798197,6.299804791,5.965945443,7.014054579
3017936002,4.220354998,4.800344245,5.514434653,5.781924182,7.590366681
1076565274,4.418252233,4.346133257,5.98155359,5.290405738,6.97511321
3022646611,4.2903581,4.243436632,5.41245815,5.606261192,7.624917427
1081366850,4.54388674,4.496663612,6.376701286,5.780802067,7.303931206
3029167955,4.114457272,4.104933332,6.078282966,5.565600036,7.559163772
1081730904,4.394202869,4.674389542,5.746460681,5.796985701,8.868163915
3030572467,4.280590152,4.156083743,5.535031908,5.954761017,7.519968313
1084225445,4.317306062,4.137348806,6.312150168,5.760809191,6.776537888
3032863642,4.390071344,4.872081223,5.944116858,5.364273279,6.719716214
1084860562,3.964567918,3.790905169,5.412680665,5.654648412,7.381010468
3035602262,4.26843032,4.591870807,6.385725224,6.087389986,7.112793984
108828000,4.572537519,4.46324861,6.074400406,5.922913849,7.262930805
3038035275,4.354794083,4.271233233,6.308104178,5.614690476,6.568178501
1088695522,4.111839757,4.088688834,5.104914583,5.281257316,6.282929966
3039910629,4.632947953,5.167157753,6.601617481,5.644244486,7.251260604
1091857727,4.213765484,4.089959782,5.390006427,5.829311019,7.436866567
3043294809,4.297934383,4.27435066,5.064980256,5.494777707,7.065500485
1094939473,5.068760997,4.556677469,6.720640167,6.246175668,7.41166863
3052691308,4.62439824,4.511467691,6.915058903,6.400361793,8.063970749
1095340536,4.211077721,4.294721743,5.321823199,5.523475605,7.150370338
3055237322,4.738821342,5.044436573,5.399130262,5.581412204,8.064529279
1097398405,4.48809663,4.967259921,7.495662649,6.757567028,9.005045902
3059148008,4.452942219,4.898321734,5.783993491,5.61612844,7.620276577
1101490424,4.313137763,4.881126153,5.558176379,5.632010806,7.618160798
3060404940,4.661424978,4.267979486,6.076528038,7.667851564,7.460713256
1103118018,4.34040301,4.425905815,6.078200937,5.757040183,7.192423608
3062402909,4.416353134,4.8126636,5.656996967,5.701903543,7.662188596
