sub,CBF,SCRUB,BASIL,PVGM,PVWM
1000393599,5.672900843,6.590621943,10.09763007,11.68631181,9.941301878
2933325835,7.366512118,8.005001994,10.23329976,10.87407106,10.8274043
1000881804,6.92340772,7.654232793,10.00503728,11.3679799,9.889928386
2933490015,5.961815985,6.788053992,10.86206832,12.73120775,10.53846694
1001970838,5.421180424,6.289523939,10.31518882,12.34775388,10.95381184
2933854864,7.071698751,7.83459951,11.29846272,12.12068485,10.64249508
100527940,7.010892463,8.327733483,10.74696805,12.36829151,10.90815251
2934644075,6.927142344,7.615396995,9.667929224,10.8493601,10.13363821
1006151876,6.612179039,7.034421238,9.951879846,11.00599466,10.41339317
2935256495,6.986855074,8.139536927,10.38030795,11.15847305,10.33631204
1007995238,6.621269928,7.367696791,10.18813414,11.54225996,10.37879231
2939120682,7.438483417,7.956197894,9.72519457,11.0344562,10.81868974
1011497669,6.280636567,6.976179484,10.3091969,11.37571215,10.39806179
2939479952,5.748706906,6.281571739,9.162813486,12.52765303,9.863972859
1012530688,5.463202319,5.559324622,11.18062041,12.86701992,11.37335659
2943493898,6.597051202,7.24363302,10.52688757,11.95683093,10.65225217
1017092387,6.189519031,6.606704942,10.01421515,11.87838991,10.36322856
2944925114,7.576132941,8.21377644,10.10377387,10.96062034,10.43323103
1020132225,6.684258601,7.629616319,10.34162011,11.21989102,10.94266688
2947976933,5.662227552,6.247296114,10.34122924,12.78202281,9.68283066
1023701836,6.576814923,7.805641678,9.447052303,10.89645655,10.38020923
2951167051,5.565666282,6.094918441,9.984481723,11.53909597,10.17693936
1025031408,7.075657652,7.883386369,10.42333557,11.09323644,11.01571199
2967555571,7.033689073,7.786692971,10.23913511,10.61410536,10.95200947
1027389114,7.328362823,7.962255337,11.78895058,12.65459024,11.20936768
296947353,6.421616644,7.261121429,9.990531509,10.50188964,10.48444609
1030193285,6.225906399,6.804633319,9.724333478,10.75700798,10.54385231
2970389523,6.289628604,6.97769457,9.956290497,10.66217109,10.05138677
103652366,7.393897472,8.011362182,10.08461076,10.41504443,10.50712567
2972126748,6.363512668,7.195050085,9.206355833,10.47845106,10.30323319
1037644062,6.226159679,6.878243995,9.502164573,10.98757428,10.0916793
2976850765,5.998637843,6.698800754,9.897751266,10.95746272,10.9630572
1039797417,5.086260835,5.736169029,11.04288266,13.08350657,11.46716215
2978762615,6.823877766,7.226124871,10.03287513,11.54173963,11.17720205
1039936647,5.769492026,6.472242194,10.06468247,11.87161813,10.2169718
2979786632,6.664589837,7.420075143,9.971359761,11.55409529,11.17043233
1043634177,6.056754466,7.235221599,10.06491498,11.65926724,10.07331254
29811890,6.880072974,7.837058503,9.946474537,10.93016863,10.61843354
1044438549,6.786782933,7.994516987,10.32947106,11.55857989,10.47210752
2981829638,6.289355198,7.721154323,10.29343395,11.58732449,11.08726477
1046353426,6.105937936,6.612196359,10.28662834,12.50800358,10.85735381
2982184070,6.113790983,6.656771836,9.903194615,11.43279429,10.17880214
1046399178,5.365601785,6.570147524,9.462685617,11.64331369,9.914995475
2988053796,7.00864935,7.759034376,9.762125448,11.28692994,10.53382234
1048162151,6.706398476,7.458690555,10.29291994,11.77927362,10.16591606
2990984557,6.126853054,6.915548315,10.89230617,12.97641358,11.11421709
1050116930,6.077305065,6.82238892,9.411754735,10.95568712,10.20340141
2991801804,5.763541971,6.560833442,9.660936898,11.12484978,10.066185
1057423710,5.627278704,6.086196855,9.87758019,11.61755068,10.00221491
2994983988,6.791549069,7.315305724,10.85290225,12.00332635,11.0584727
105914514,5.993097844,7.661779302,10.31083918,12.03277233,10.0851528
2996472019,6.658250874,7.865296353,9.906648987,10.83993346,10.30580235
1060532313,5.805795801,6.97883229,10.58508341,11.68121695,10.89980561
299894413,6.907290501,7.945561289,9.856958574,10.44876707,10.41529762
1060668554,7.262165173,7.813438165,9.942354129,10.54375652,10.34805849
3010264843,5.944081462,6.718124846,10.10385554,11.82396905,10.3505027
1065666069,5.080055612,5.351165745,9.900265606,11.39546094,10.72446833
3010354631,6.494142728,7.209523291,9.960304429,12.18936133,10.44597963
1068261111,6.208948721,6.644749787,10.11963582,11.87673979,11.07543805
3014879953,6.604142637,7.315302279,10.52257572,11.15124358,10.4070038
1070737504,5.814124179,7.04860959,9.356850045,10.81987849,9.632151271
3016118416,6.277042044,6.93241415,10.10706459,11.06423814,10.24510999
107578676,7.560978775,8.176718262,10.59510599,12.01463872,10.63065043
3017936002,5.852381751,7.297531693,9.74495002,11.58639953,10.19232901
1076565274,6.643709671,7.248537527,9.780776265,10.55177276,10.03320421
3022646611,6.704291749,7.279828737,9.867887853,11.18879291,10.25212563
1081366850,7.000066127,7.651092541,10.01744771,10.7083058,10.11077153
3029167955,5.784161984,6.673022372,9.918395047,11.41223218,10.60235631
1081730904,6.442388078,8.09008193,10.0868995,11.52582025,11.41688583
3030572467,6.454110488,7.162573233,10.24219223,12.41667678,10.87612252
1084225445,5.941374108,6.99901655,10.338974,11.39103392,10.45634398
3032863642,7.053904146,7.891726789,9.884073936,10.33851769,10.48391964
1084860562,5.864294531,6.143360273,10.01088629,12.14809885,10.94893442
3035602262,5.473166851,6.666354894,9.902916049,11.68477153,10.38580264
108828000,6.051055951,6.963890323,9.947210606,11.69970446,10.29652702
3038035275,6.534382675,7.505287982,10.29806217,11.39707115,10.34251866
1088695522,6.753565035,7.222396131,9.819940243,10.43771028,10.1925802
3039910629,7.338536603,8.322769075,10.15952668,10.55252653,10.18155823
1091857727,5.904845792,6.36148247,9.372069233,11.11545799,9.962046722
3043294809,5.939640592,7.328339513,9.288850804,10.19950386,10.05771825
1094939473,6.032636378,7.046706136,11.31993627,12.44688296,11.23283839
3052691308,6.482480249,8.122545813,11.28572878,12.66992434,11.60733254
1095340536,6.257262769,7.280061521,9.376922937,10.34565761,10.16774657
3055237322,6.400231107,7.783405929,10.13666669,11.6673103,10.34756423
1097398405,5.274937353,7.758797142,10.99370921,12.60718656,10.96569021
3059148008,7.225756691,7.973800593,11.010053,12.47711419,10.83228656
1101490424,7.017622233,7.745337757,10.31277077,11.39572134,10.70772159
3060404940,4.415312037,5.562341612,9.779311809,12.50359816,9.961895301
1103118018,6.524176662,7.059738091,10.14518656,10.76662481,10.50979826
3062402909,6.83191038,7.531758341,10.208091,11.84827047,10.2128943
1105526680,6.458795034,6.969287326,9.616010127,11.1340587,10.34707702
3066751024,6.836718966,7.721940148,9.720776668,11.33167166,10.24133379
1110356321,6.39756726,7.185371639,9.869410305,11.49901995,10.41558145
306816217,6.307807303,7.683558777,9.590599265,9.913156136,10.70086268
1111014310,6.558392946,7.286972947,10.19654418,11.92712695,10.13017881
307169010,7.276343717,7.98763822,10.2809899,11.43257587,10.45422293
1113295648,6.618834862,7.063821063,10.41348513,12.0026988,10.60599713
3073794839,,,,,
1114035056,6.11631447,7.286287334,11.04699438,13.04090766,11.48058437
3076915122,7.046911854,7.644380089,9.790281542,11.17866854,10.34208474
1120275692,6.572118552,7.553583665,9.817224043,10.9148978,10.08744926
307804547,6.973269499,7.461942111,10.09602008,11.82928621,10.66591644
1120459625,6.012777324,6.395110577,8.57937074,10.72140621,10.3619386
3081556774,5.725997618,6.834229346,9.176646018,10.19825812,10.29155077
1120521402,7.101164293,7.646214336,9.877020004,10.74458859,10.38197921
308228517,5.912034631,6.33581047,10.08825184,12.39838236,10.42593847
1123556411,5.270999809,6.183781855,9.078676802,10.99792653,9.520080405
3082686752,6.678913275,7.371514732,9.882643195,10.93157679,10.29312566
1125207511,6.766748883,8.337210495,10.63068243,11.78529924,10.41509178
3090132303,5.864794767,6.481413596,10.21734903,11.257527,10.59868924
113335479,6.341832907,6.986845061,10.37734255,11.57340288,10.34151832
3090659941,7.468749227,7.821412833,11.03994767,11.32227179,11.19694324
1133357643,7.673868221,8.467033944,10.87918082,11.96689126,10.74328599
309129555,6.959563835,7.683102141,10.67061545,11.93012451,10.59463731
1134044888,6.655098941,7.545135368,10.39361063,11.89466707,10.68640981
3091738725,6.165721372,6.805505021,10.29717309,11.49264057,10.32077465
1137076695,6.128095809,6.515558095,9.750168546,11.63995629,10.09954019
3091757174,5.700315925,6.222460972,8.998110288,10.65807528,9.74394847
1137996270,7.065876817,8.150688455,9.730467802,10.2375733,10.00887266
3092187032,6.278882384,7.295682209,11.75671064,12.79481081,11.08394802
1139941451,6.284052501,7.271455785,9.481831697,11.3123126,10.34833265
3093541482,4.422607166,4.962229092,10.92623064,14.74303281,12.49727276
11407866,6.763266336,7.904683481,9.542026898,10.491747,10.26399096
3095311898,6.831848792,7.288281755,9.664167854,11.35226157,10.8099289
1145936325,6.956706951,7.574034716,10.66295386,11.75534836,10.39762386
3100094802,6.905926774,7.767863168,10.01192075,10.99694562,10.31699829
1150278162,6.316100122,7.119267776,9.790302709,11.21067367,10.61262949
3103368139,5.693537255,6.059171899,9.446290171,11.87436635,10.5203904
1150591062,6.039300889,7.250257723,10.33368953,11.32345244,10.40038825
3104080596,4.835373419,5.341534515,9.032347171,11.33279589,10.42723032
1152449741,6.467832641,7.173556156,9.692140253,11.32581558,10.31173242
310631091,5.715070489,6.296348711,9.613881582,11.16121255,10.08572974
1156073272,7.409750192,8.228892802,10.90707832,12.38372959,11.10939375
3109977781,5.141680484,5.499033289,9.6429397,10.83224099,10.08875952
1157233457,5.338119961,6.942057255,10.05499296,11.71836446,11.14567049
3112586807,6.670576621,7.222875381,10.11987588,11.73617637,10.22724107
11574123,7.187556267,8.043873998,9.861768996,10.61293443,10.60680847
3117043986,5.632177065,7.300503493,10.39707588,12.32687825,11.05185718
1157595916,5.887524716,6.701802182,9.357593087,11.33640554,10.18208936
