scanid,oldCBF
2894,4.898947022
2643,7.655301124
2637,6.176631835
3016,6.103239677
2648,5.077678763
6635,7.474099815
3145,6.935491509
2794,5.851090206
7390,6.726497666
2798,3.40750252
2726,4.409253599
3013,5.684936755
2823,6.464831777
3476,5.611561273
2725,4.932272364
2821,7.487262185
2647,7.061447423
2739,6.508344637
3844,4.248963148
9652,
3369,7.43859054
2646,5.697738743
2675,5.583465021
3437,5.857569528
2753,4.212463891
2632,6.273046194
2644,7.261067538
2750,6.818133585
3724,7.480565263
2653,6.897366426
3427,4.849182573
3184,7.177683106
5901,5.731162221
2738,4.790482438
3742,7.434354035
3141,6.406749048
9665,
7819,4.639880542
6851,6.65560662
6563,4.003626534
6491,7.410274236
3179,5.38988635
6869,6.894661099
2793,5.86867251
2752,4.366773917
2720,7.033938416
2855,4.632584563
2818,5.806033205
2995,5.060656494
6312,5.860241734
6726,
2740,7.329972486
3085,7.150893425
2682,7.35223421
3076,7.61199487
6728,3.514382326
6666,4.75258982
2749,4.852107986
6584,5.861046373
2751,5.288615531
2723,6.909359558
2727,5.374115362
6184,6.094895633
4763,7.615040335
2825,5.967193001
3112,6.338227281
2856,8.294918622
3118,5.142821022
6629,6.788547304
4411,6.884969248
5712,7.444823579
3043,5.631383972
3370,6.912610606
6552,5.267077183
3309,3.667160355
6619,6.632230915
2706,5.580217685
3325,6.626949054
3297,6.315811605
4481,5.964561279
6815,6.799413808
2952,6.713807673
2906,6.171238983
6565,4.427238625
6675,6.332681617
2728,4.130371977
4335,6.757690689
3677,6.96038371
3036,2.875206527
3404,7.498783329
3033,
3020,6.983885283
8220,6.229452102
3433,6.702931603
4654,6.732555793
3488,7.253485748
3211,
3038,7.397694815
2971,5.256075848
2905,4.559995132
3125,6.476471316
9934,
3201,7.594033776
4887,4.448402139
3340,5.286651211
2902,6.123310982
6532,4.599974663
2967,3.916704845
4498,5.796985623
5797,5.378503486
2911,5.638550834
6603,8.05057969
2792,5.835721662
2795,5.386030436
2899,5.348707084
6764,4.934280339
3138,5.992401429
6582,6.674819558
7288,7.134674818
2854,5.842737999
3045,7.617182852
6806,6.565657939
2963,5.256671277
2796,7.900869303
6723,7.508601878
3075,6.238244275
5853,6.964715364
2822,7.083885818
4931,5.104675062
3610,6.413197542
3015,7.343790286
3040,5.75924262
6818,4.875586004
3116,7.74236961
3564,7.162421519
6747,5.141159895
6671,6.24097102
2811,
3081,5.865838851
3113,6.972925646
2831,7.151523053
2954,4.431524949
8415,7.015810213
5674,3.582588833
3495,5.455788113
4463,4.947401696
3524,6.472382143
6573,6.225208945
5842,7.227651303
2859,7.456157117
6733,5.481881482
8315,6.579455576
8270,4.747508998
2865,7.457605145
6282,6.437685905
3039,5.161157783
2923,7.131939862
2951,6.924107311
6631,6.728467539
3611,7.296507787
